日期,开盘价,最高价,最低价,收盘价
2020-09-01 00:00:00,1.34078,1.3409,1.34073,1.34084
2020-09-01 01:00:00,1.34047,1.34083,1.34047,1.34083
2020-09-01 02:00:00,1.34178,1.34181,1.3415,1.34175
2020-09-01 03:00:00,1.34042,1.34042,1.33988,1.3401
2020-09-01 04:00:00,1.34334,1.34336,1.34276,1.34277
2020-09-01 05:00:00,1.34204,1.34214,1.34167,1.34193
2020-09-01 06:00:00,1.34472,1.34472,1.34431,1.34431
2020-09-01 07:00:00,1.34617,1.34731,1.34616,1.34715
2020-09-01 08:00:00,1.34702,1.34714,1.34688,1.34689
2020-09-01 09:00:00,1.34684,1.34724,1.34677,1.34718
2020-09-01 10:00:00,1.3438,1.34381,1.34166,1.34234
2020-09-01 11:00:00,1.34467,1.34479,1.34452,1.34466
2020-09-01 12:00:00,1.34143,1.34145,1.34119,1.34123
2020-09-01 13:00:00,1.33919,1.33921,1.33843,1.33876
2020-09-01 14:00:00,1.33844,1.33872,1.33834,1.33842
2020-09-01 15:00:00,1.33835,1.33835,1.3376,1.33767
2020-09-01 16:00:00,1.33821,1.33828,1.33793,1.33819
2020-09-01 17:00:00,1.33824,1.33879,1.33793,1.33872
2020-09-01 18:03:00,1.33874,1.33877,1.33874,1.33876
2020-09-01 19:04:00,1.33924,1.33929,1.33921,1.33922
2020-09-01 20:04:00,1.33976,1.33997,1.33976,1.33982
2020-09-01 21:04:00,1.33794,1.33794,1.33763,1.33776
2020-09-01 22:04:00,1.33772,1.33773,1.33763,1.33763
2020-09-01 23:04:00,1.33805,1.33807,1.33803,1.33807
2020-09-02 00:04:00,1.33787,1.33787,1.33787,1.33787
2020-09-02 01:04:00,1.33789,1.33792,1.33785,1.33789
2020-09-02 02:04:00,1.33822,1.33836,1.33806,1.33806
2020-09-02 03:04:00,1.33637,1.3364,1.33609,1.33634
2020-09-02 04:04:00,1.33409,1.33409,1.33368,1.33373
2020-09-02 05:04:00,1.3345,1.33488,1.33446,1.33468
2020-09-02 06:04:00,1.33669,1.33685,1.33664,1.33674
2020-09-02 07:04:00,1.33614,1.33614,1.33551,1.33598
2020-09-02 08:04:00,1.33496,1.33502,1.33485,1.33494
2020-09-02 09:04:00,1.33469,1.33511,1.33455,1.33505
2020-09-02 10:04:00,1.33141,1.3318,1.33135,1.3318
2020-09-02 11:04:00,1.3303,1.33045,1.33011,1.33014
2020-09-02 12:04:00,1.33073,1.33092,1.33072,1.33083
2020-09-02 13:04:00,1.33247,1.33248,1.33229,1.33229
2020-09-02 14:04:00,1.3322,1.33252,1.3322,1.33251
2020-09-02 15:04:00,1.33201,1.33215,1.332,1.33212
2020-09-02 16:04:00,1.33467,1.33471,1.33465,1.33466
2020-09-02 17:05:00,1.3348,1.3348,1.33479,1.3348
2020-09-02 18:05:00,1.33511,1.33511,1.33507,1.33508
2020-09-02 19:05:00,1.33535,1.33535,1.33535,1.33535
2020-09-02 20:06:00,1.33394,1.33413,1.33393,1.33413
2020-09-02 21:06:00,1.33295,1.33299,1.33283,1.33299
2020-09-02 22:06:00,1.33342,1.33345,1.33324,1.33342
2020-09-02 23:06:00,1.33273,1.33276,1.3326,1.33266
2020-09-03 00:06:00,1.33278,1.33286,1.33277,1.33286
2020-09-03 01:06:00,1.33113,1.33114,1.33098,1.33104
2020-09-03 02:06:00,1.32865,1.32875,1.32865,1.32874
2020-09-03 03:06:00,1.32781,1.32808,1.3278,1.32807
2020-09-03 04:06:00,1.33079,1.33086,1.33067,1.33071
2020-09-03 05:06:00,1.33064,1.33078,1.33051,1.33054
2020-09-03 06:06:00,1.32764,1.32796,1.32762,1.32796
2020-09-03 07:06:00,1.32502,1.32517,1.32496,1.32503
2020-09-03 08:06:00,1.32508,1.32508,1.32474,1.32495
2020-09-03 09:06:00,1.32664,1.32762,1.32649,1.3271
2020-09-03 10:06:00,1.3286,1.32885,1.32845,1.32847
2020-09-03 11:06:00,1.32687,1.32691,1.3265,1.32653
2020-09-03 12:06:00,1.32574,1.32603,1.32572,1.32595
2020-09-03 13:06:00,1.32544,1.32553,1.3254,1.32544
2020-09-03 14:06:00,1.32775,1.32824,1.32774,1.32824
2020-09-03 15:06:00,1.32767,1.3279,1.32761,1.32785
2020-09-03 16:06:00,1.32786,1.32787,1.3278,1.3278
2020-09-03 17:09:00,1.32694,1.32694,1.32685,1.32691
2020-09-03 18:11:00,1.32772,1.32772,1.32766,1.32769
2020-09-03 19:11:00,1.32739,1.3275,1.32739,1.32746
2020-09-03 20:11:00,1.32684,1.32685,1.32655,1.32663
2020-09-03 21:11:00,1.32827,1.32834,1.32825,1.32831
2020-09-03 22:11:00,1.32927,1.32927,1.32918,1.32918
2020-09-03 23:11:00,1.32797,1.32805,1.32791,1.32804
2020-09-04 00:11:00,1.32756,1.32756,1.32746,1.32755
2020-09-04 01:11:00,1.32795,1.32797,1.32792,1.32792
2020-09-04 02:11:00,1.32743,1.32744,1.32725,1.32726
2020-09-04 03:11:00,1.32728,1.32741,1.32719,1.32728
2020-09-04 04:11:00,1.32972,1.32993,1.32964,1.32989
2020-09-04 05:11:00,1.33156,1.33156,1.33127,1.33133
2020-09-04 06:11:00,1.32992,1.33033,1.3299,1.33027
2020-09-04 07:11:00,1.32792,1.32811,1.32782,1.3279
2020-09-04 08:11:00,1.32616,1.32617,1.32564,1.32581
2020-09-04 09:11:00,1.32129,1.32147,1.32127,1.32132
2020-09-04 10:11:00,1.32061,1.3209,1.32038,1.32044
2020-09-04 11:11:00,1.31988,1.31993,1.31934,1.31947
2020-09-04 12:11:00,1.32284,1.32289,1.32266,1.32266
2020-09-04 13:11:00,1.325,1.32501,1.32487,1.32488
2020-09-04 14:11:00,1.32661,1.32664,1.32653,1.3266
2020-09-04 15:11:00,1.32827,1.32831,1.32821,1.32821
2020-09-04 16:11:00,1.3279,1.32793,1.32784,1.32793
2020-09-06 17:15:00,1.32611,1.32612,1.3261,1.32611
2020-09-06 18:16:00,1.32487,1.32492,1.3247,1.32472
2020-09-06 19:16:00,1.32545,1.32548,1.32544,1.32547
2020-09-06 20:16:00,1.32473,1.32503,1.32473,1.32495
2020-09-06 21:16:00,1.32536,1.32544,1.32524,1.32538
2020-09-06 22:16:00,1.32437,1.32459,1.32434,1.32459
2020-09-06 23:16:00,1.32406,1.32407,1.32403,1.32405
2020-09-07 00:16:00,1.32356,1.3237,1.32355,1.32366
2020-09-07 01:16:00,1.32292,1.32293,1.32284,1.32288
2020-09-07 02:16:00,1.32114,1.32155,1.32114,1.32129
2020-09-07 03:16:00,1.32083,1.32083,1.32067,1.3208
2020-09-07 04:16:00,1.32344,1.32351,1.3233,1.3234
2020-09-07 05:16:00,1.31794,1.31804,1.31777,1.31779
2020-09-07 06:16:00,1.31674,1.31674,1.31639,1.31645
2020-09-07 07:16:00,1.3154,1.31546,1.31538,1.3154
2020-09-07 08:16:00,1.31567,1.31581,1.31566,1.31575
2020-09-07 09:16:00,1.31554,1.31556,1.31486,1.31488
2020-09-07 10:16:00,1.31633,1.31644,1.3163,1.31643
2020-09-07 11:16:00,1.31695,1.31707,1.31694,1.31704
2020-09-07 12:16:00,1.3168,1.31692,1.31667,1.31667
2020-09-07 13:16:00,1.31707,1.31708,1.31693,1.31699
2020-09-07 14:16:00,1.31657,1.31665,1.31656,1.31656
2020-09-07 15:16:00,1.31682,1.31683,1.31665,1.31667
2020-09-07 16:16:00,1.31687,1.31687,1.31687,1.31687
2020-09-07 17:19:00,1.31616,1.3162,1.31598,1.31619
2020-09-07 18:19:00,1.31603,1.31603,1.31601,1.31601
2020-09-07 19:20:00,1.31643,1.31644,1.31641,1.31641
2020-09-07 20:20:00,1.31643,1.31643,1.31642,1.31643
2020-09-07 21:20:00,1.31518,1.31518,1.31512,1.31512
2020-09-07 22:20:00,1.31469,1.31482,1.31468,1.31475
2020-09-07 23:20:00,1.31462,1.31463,1.31455,1.3146
2020-09-08 00:20:00,1.31467,1.31472,1.31458,1.31458
2020-09-08 01:20:00,1.31292,1.31306,1.31292,1.31296
2020-09-08 02:20:00,1.31427,1.31436,1.31407,1.31417
2020-09-08 03:20:00,1.31365,1.31365,1.31328,1.31335
2020-09-08 04:20:00,1.31373,1.31374,1.31353,1.31358
2020-09-08 05:20:00,1.30882,1.30889,1.3086,1.3087
2020-09-08 06:20:00,1.30406,1.30422,1.30401,1.30411
2020-09-08 07:20:00,1.30516,1.30516,1.30491,1.30493
2020-09-08 08:20:00,1.30404,1.30411,1.30376,1.30396
2020-09-08 09:20:00,1.30281,1.30298,1.30263,1.30265
2020-09-08 10:20:00,1.30428,1.30461,1.30423,1.30435
2020-09-08 11:20:00,1.30316,1.30328,1.30311,1.30311
2020-09-08 12:20:00,1.3047,1.30511,1.3047,1.30499
2020-09-08 13:20:00,1.30214,1.30216,1.3021,1.30214
2020-09-08 14:20:00,1.30052,1.3006,1.30051,1.30058
2020-09-08 15:20:00,1.29891,1.29893,1.29881,1.29881
2020-09-08 16:20:00,1.29936,1.29938,1.29935,1.29937
2020-09-08 17:20:00,1.29874,1.29874,1.29872,1.29873
2020-09-08 18:20:00,1.29592,1.29618,1.29592,1.29618
2020-09-08 19:20:00,1.29577,1.29578,1.29561,1.29566
2020-09-08 20:20:00,1.29669,1.2969,1.29659,1.29686
2020-09-08 21:20:00,1.29547,1.2955,1.2953,1.29542
2020-09-08 22:20:00,1.29591,1.29593,1.29578,1.29581
2020-09-08 23:20:00,1.2965,1.2965,1.29614,1.29614
2020-09-09 00:20:00,1.29662,1.29669,1.29658,1.29667
2020-09-09 01:20:00,1.2969,1.29698,1.2969,1.29698
2020-09-09 02:20:00,1.2944,1.29449,1.29429,1.29437
2020-09-09 03:20:00,1.29408,1.29454,1.29401,1.29454
2020-09-09 04:20:00,1.29458,1.29472,1.29433,1.29451
2020-09-09 05:20:00,1.29428,1.29439,1.29419,1.29436
2020-09-09 06:20:00,1.29427,1.29441,1.29426,1.29441
2020-09-09 07:20:00,1.29451,1.29452,1.294,1.29412
2020-09-09 08:20:00,1.29168,1.29173,1.29165,1.29167
2020-09-09 09:20:00,1.29865,1.29866,1.2978,1.29803
2020-09-09 10:20:00,1.29827,1.29902,1.29827,1.2989
2020-09-09 11:20:00,1.30016,1.30025,1.30011,1.30022
2020-09-09 12:20:00,1.30058,1.30067,1.30048,1.30048
2020-09-09 13:20:00,1.30027,1.30082,1.30002,1.30082
2020-09-09 14:20:00,1.29918,1.29918,1.29914,1.29915
2020-09-09 15:20:00,1.29967,1.29981,1.29966,1.29975
2020-09-09 16:20:00,1.30029,1.30029,1.30012,1.30012
2020-09-09 17:24:00,1.29916,1.29916,1.29889,1.29893
2020-09-09 18:25:00,1.30051,1.30056,1.30048,1.30048
2020-09-09 19:25:00,1.30017,1.30031,1.3001,1.30017
2020-09-09 20:25:00,1.3,1.30002,1.2996,1.29963
2020-09-09 21:25:00,1.29869,1.29876,1.29865,1.29873
2020-09-09 22:25:00,1.29857,1.29858,1.29847,1.29857
2020-09-09 23:25:00,1.29986,1.29987,1.29973,1.29978
2020-09-10 00:25:00,1.29958,1.2996,1.29956,1.29956
2020-09-10 01:26:00,1.29989,1.29991,1.29985,1.29991
2020-09-10 02:26:00,1.30278,1.30302,1.30257,1.30301
2020-09-10 03:26:00,1.30088,1.30109,1.3006,1.301
2020-09-10 04:26:00,1.30027,1.30046,1.30026,1.30028
2020-09-10 05:26:00,1.30295,1.30299,1.30282,1.30289
2020-09-10 06:26:00,1.30237,1.30237,1.30227,1.30232
2020-09-10 07:26:00,1.29902,1.29921,1.29886,1.29892
2020-09-10 08:26:00,1.29305,1.29305,1.2927,1.29271
2020-09-10 09:26:00,1.29648,1.29687,1.29647,1.2968
2020-09-10 10:26:00,1.29243,1.29267,1.29229,1.29233
2020-09-10 11:26:00,1.28756,1.2876,1.28737,1.28747
2020-09-10 12:26:00,1.2819,1.28191,1.28169,1.28173
2020-09-10 13:26:00,1.2833,1.28338,1.28308,1.28336
2020-09-10 14:26:00,1.28045,1.28045,1.27986,1.27993
2020-09-10 15:26:00,1.27819,1.27825,1.27732,1.27739
2020-09-10 16:26:00,1.27979,1.28013,1.27979,1.28012
2020-09-10 17:26:00,1.28022,1.28022,1.28018,1.2802
2020-09-10 18:26:00,1.28078,1.28102,1.28073,1.28102
2020-09-10 19:26:00,1.28121,1.28125,1.28115,1.28117
2020-09-10 20:26:00,1.28072,1.28073,1.28055,1.28056
2020-09-10 21:26:00,1.28086,1.28091,1.28085,1.28088
2020-09-10 22:26:00,1.28187,1.28196,1.28186,1.28188
2020-09-10 23:26:00,1.2817,1.28172,1.28164,1.28172
2020-09-11 00:26:00,1.28295,1.28295,1.28284,1.28285
2020-09-11 01:26:00,1.28209,1.28214,1.28206,1.28214
2020-09-11 02:26:00,1.28155,1.28161,1.2813,1.28133
2020-09-11 03:26:00,1.2856,1.28633,1.28551,1.28575
2020-09-11 04:26:00,1.28337,1.28349,1.28319,1.28319
2020-09-11 05:26:00,1.27874,1.27893,1.27852,1.27865
2020-09-11 06:26:00,1.28023,1.28048,1.28023,1.28043
2020-09-11 07:26:00,1.28269,1.28294,1.28268,1.28271
2020-09-11 08:26:00,1.28269,1.28281,1.28261,1.28279
2020-09-11 09:26:00,1.27907,1.27933,1.27893,1.27933
2020-09-11 10:26:00,1.28188,1.28194,1.28158,1.28173
2020-09-11 11:26:00,1.27815,1.27836,1.27785,1.27798
2020-09-11 12:26:00,1.2785,1.27867,1.2785,1.27867
2020-09-11 13:26:00,1.27851,1.27851,1.27811,1.27816
2020-09-11 14:26:00,1.27932,1.27932,1.27912,1.27914
2020-09-11 15:26:00,1.28,1.28,1.27969,1.27984
2020-09-11 16:26:00,1.28017,1.28022,1.28017,1.28017
2020-09-13 17:34:00,1.27897,1.27898,1.27894,1.27898
2020-09-13 18:36:00,1.28062,1.28062,1.28058,1.28058
2020-09-13 19:36:00,1.28013,1.2803,1.28013,1.28029
2020-09-13 20:36:00,1.27954,1.27961,1.27939,1.2794
2020-09-13 21:36:00,1.28061,1.28078,1.28051,1.28078
2020-09-13 22:36:00,1.28222,1.28224,1.28212,1.28224
2020-09-13 23:36:00,1.28252,1.28253,1.28252,1.28253
2020-09-14 00:36:00,1.28196,1.28197,1.28192,1.28192
2020-09-14 01:36:00,1.28185,1.28216,1.28181,1.28213
2020-09-14 02:36:00,1.28186,1.28192,1.28185,1.28185
2020-09-14 03:36:00,1.28393,1.28401,1.28372,1.28374
2020-09-14 04:36:00,1.28544,1.28554,1.28534,1.28553
2020-09-14 05:36:00,1.28475,1.28476,1.28437,1.28439
2020-09-14 06:36:00,1.28694,1.2871,1.28665,1.28691
2020-09-14 07:36:00,1.28757,1.28759,1.28747,1.28752
2020-09-14 08:36:00,1.28603,1.28624,1.286,1.28609
2020-09-14 09:36:00,1.28957,1.2896,1.28918,1.28928
2020-09-14 10:36:00,1.28762,1.28764,1.28708,1.28718
2020-09-14 11:36:00,1.28873,1.28883,1.28869,1.28881
2020-09-14 12:36:00,1.28757,1.28766,1.28754,1.2876
2020-09-14 13:36:00,1.28654,1.28671,1.28648,1.28669
2020-09-14 14:36:00,1.28558,1.28559,1.28552,1.28552
2020-09-14 15:36:00,1.28629,1.28633,1.28621,1.28622
2020-09-14 16:38:00,1.28515,1.28516,1.28509,1.28513
2020-09-14 17:38:00,1.28456,1.28458,1.28456,1.28456
2020-09-14 18:39:00,1.28498,1.285,1.28498,1.285
2020-09-14 19:39:00,1.28493,1.28495,1.28492,1.28493
2020-09-14 20:39:00,1.28413,1.28419,1.28409,1.28409
2020-09-14 21:39:00,1.28248,1.28254,1.28245,1.28246
2020-09-14 22:39:00,1.28403,1.28405,1.28394,1.28394
2020-09-14 23:39:00,1.28544,1.28544,1.28538,1.28539
2020-09-15 00:39:00,1.28623,1.28623,1.28608,1.2861
2020-09-15 01:39:00,1.28606,1.28606,1.28591,1.28591
2020-09-15 02:39:00,1.28716,1.28716,1.28695,1.28695
2020-09-15 03:39:00,1.28632,1.28653,1.28629,1.28638
2020-09-15 04:39:00,1.288,1.288,1.28782,1.28794
2020-09-15 05:39:00,1.28987,1.28992,1.28973,1.28976
2020-09-15 06:39:00,1.29098,1.29102,1.29076,1.29078
2020-09-15 07:39:00,1.29212,1.29212,1.29166,1.29172
2020-09-15 08:39:00,1.28998,1.29,1.2897,1.28978
2020-09-15 09:39:00,1.28834,1.28862,1.2883,1.2884
2020-09-15 10:39:00,1.28739,1.28739,1.28685,1.28688
2020-09-15 11:39:00,1.28579,1.2858,1.28561,1.28579
2020-09-15 12:39:00,1.28823,1.28831,1.28818,1.28819
2020-09-15 13:39:00,1.28983,1.28983,1.28957,1.28957
2020-09-15 14:39:00,1.28902,1.28915,1.28897,1.28911
2020-09-15 15:39:00,1.28858,1.28863,1.28856,1.28856
2020-09-15 16:39:00,1.28888,1.28894,1.28883,1.28894
2020-09-15 17:39:00,1.28882,1.28885,1.28881,1.28881
2020-09-15 18:42:00,1.28905,1.28905,1.28905,1.28905
2020-09-15 19:42:00,1.2877,1.28776,1.28767,1.28776
2020-09-15 20:42:00,1.28821,1.28826,1.28819,1.2882
2020-09-15 21:42:00,1.28965,1.28975,1.28961,1.28974
2020-09-15 22:42:00,1.2905,1.29055,1.29047,1.29049
2020-09-15 23:42:00,1.29042,1.29045,1.29028,1.29028
2020-09-16 00:42:00,1.28944,1.28945,1.28934,1.28941
2020-09-16 01:42:00,1.28928,1.2893,1.28926,1.28926
2020-09-16 02:42:00,1.2897,1.28977,1.28955,1.28977
2020-09-16 03:42:00,1.28801,1.28813,1.28794,1.28811
2020-09-16 04:42:00,1.29037,1.29055,1.29025,1.29055
2020-09-16 05:42:00,1.29304,1.29323,1.29292,1.29309
2020-09-16 06:42:00,1.29557,1.29557,1.29462,1.29473
