Date,Close,Predictions
2012-12-11,622.35,620.9065
2012-12-12,623.7,621.0239
2012-12-13,621.45,621.3071
2012-12-14,622.35,621.5563
2012-12-17,622.05,621.8194
2012-12-18,621.55,622.06055
2012-12-19,621.16,622.2462
2012-12-20,621.26,622.36365
2012-12-21,621.16,622.4363
2012-12-24,621.35,622.4704
2012-12-25,621.35,622.48846
2012-12-26,622.15,622.4954
2012-12-27,622.05,622.53973
2012-12-28,621.45,622.6006
2012-12-31,621.26,622.63525
2013-01-04,618.84,622.64026
2013-01-07,621.5,622.49005
2013-01-08,620.81,622.3962
2013-01-09,621.24,622.30585
2013-01-10,620.86,622.2468
2013-01-11,619.86,622.19006
2013-01-14,620.51,622.0816
2013-01-15,619.86,621.9818
2013-01-16,620.11,621.8566
2013-01-17,620.06,621.7358
2013-01-18,620.06,621.62134
2013-01-21,620.62,621.5173
2013-01-22,620.61,621.457
2013-01-23,620.21,621.42773
2013-01-24,620.31,621.3977
2013-01-25,620.36,621.3742
2013-01-28,621.02,621.3589
2013-01-29,620.96,621.3867
2013-01-30,620.46,621.43774
2013-01-31,620.36,621.4729
2013-02-01,621.16,621.49
2013-02-04,621.75,621.5393
2013-02-05,621.58,621.64014
2013-02-06,621.55,621.75946
2013-02-07,621.65,621.88257
2013-02-08,622.0,622.00696
2013-02-09,622.0,622.1452
2013-02-10,622.0,622.28503
2013-02-11,622.1,622.4182
2013-02-12,622.2,622.54565
2013-02-13,622.3,622.6682
2013-02-14,622.3,622.7865
2013-02-15,622.25,622.89594
2013-02-16,622.25,622.99084
2013-02-17,622.25,623.07135
2013-02-18,623.05,623.13824
2013-02-19,623.05,623.23773
2013-02-20,622.5,623.3533
2013-02-21,622.65,623.4421
2013-02-22,622.15,623.5172
2013-02-23,622.15,623.5514
2013-02-24,622.15,623.5572
2013-02-25,622.05,623.5444
2013-02-26,621.46,623.5147
2013-02-27,621.26,623.4427
2013-02-28,620.66,623.3359
2013-03-01,620.96,623.1786
