Date,Close
2010-09-15,672.8
2010-09-16,671.16
2010-09-17,671.02
2010-09-20,669.96
2010-09-21,669.28
2010-09-27,667.78
2010-09-28,667.76
2010-09-29,667.33
2010-09-30,667.66
2010-10-08,665.68
2010-10-11,665.45
2010-10-12,665.97
2010-10-13,665.12
2010-10-14,663.77
2010-10-15,662.67
2010-10-18,663.07
2010-10-19,663.17
2010-10-20,663.86
2010-10-21,663.57
2010-10-22,664.47
2010-10-25,664.47
2010-10-26,664.87
2010-10-27,666.78
2010-10-28,667.36
2010-10-29,665.72
2010-11-01,668.36
2010-11-02,666.43
2010-11-03,666.26
2010-11-04,664.67
2010-11-05,664.17
2010-11-08,666.51
2010-11-09,663.07
2010-11-10,662.07
2010-11-11,661.18
2010-11-12,662.42
2010-11-15,663.07
2010-11-16,662.47
2010-11-17,662.92
2010-11-18,662.07
2010-11-19,662.57
2010-11-22,662.87
2010-11-23,663.02
2010-11-24,663.97
2010-11-25,663.72
2010-11-26,665.27
2010-11-29,664.69
2010-11-30,665.32
2010-12-01,665.02
2010-12-02,664.77
2010-12-03,665.02
2010-12-06,663.52
2010-12-07,663.13
2010-12-08,664.77
2010-12-09,664.17
2010-12-10,664.22
2010-12-13,665.17
2010-12-14,663.98
2010-12-15,663.97
2010-12-16,663.97
2010-12-17,664.22
2010-12-20,666.12
2010-12-21,664.52
2010-12-22,663.22
2010-12-23,662.97
2010-12-24,661.37
2010-12-27,661.74
2010-12-28,661.13
2010-12-29,660.68
2010-12-30,658.68
2010-12-31,657.68
2011-01-04,659.58
2011-01-05,660.55
2011-01-06,661.27
2011-01-07,661.48
2011-01-10,662.29
2011-01-11,660.64
2011-01-12,658.98
2011-01-13,659.14
2011-01-14,657.38
2011-01-17,658.08
2011-01-18,656.98
2011-01-19,656.83
2011-01-20,657.23
2011-01-21,656.99
2011-01-24,656.68
2011-01-25,656.88
2011-01-26,656.85
2011-01-27,656.88
2011-01-28,657.24
2011-01-31,659.13
2011-02-01,657.58
2011-02-09,657.88
2011-02-10,657.36
2011-02-11,657.88
2011-02-14,658.33
2011-02-15,657.53
2011-02-16,657.58
2011-02-17,657.18
2011-02-18,656.01
2011-02-21,655.37
2011-02-22,656.58
2011-02-23,656.12
2011-02-24,656.53
2011-02-25,656.19
2011-02-28,655.82
2011-03-01,655.71
2011-03-02,655.92
2011-03-03,655.85
2011-03-04,655.52
2011-03-07,655.01
2011-03-08,655.42
2011-03-09,655.92
2011-03-10,656.03
2011-03-11,656.11
2011-03-14,655.67
2011-03-15,655.89
2011-03-16,655.82
2011-03-17,656.09
2011-03-18,655.63
2011-03-21,654.84
2011-03-22,654.26
2011-03-23,654.62
2011-03-24,654.87
2011-03-25,654.37
2011-03-28,654.99
2011-03-29,654.74
2011-03-30,654.29
2011-03-31,653.44
2011-04-01,653.59
2011-04-04,653.45
2011-04-05,653.45
2011-04-06,653.09
2011-04-07,652.94
2011-04-08,652.23
2011-04-11,652.53
2011-04-12,652.71
2011-04-13,652.01
2011-04-14,651.82
2011-04-15,651.79
2011-04-18,651.54
2011-04-19,651.69
2011-04-20,651.2
2011-04-21,650.7
2011-04-22,649.3
2011-04-25,651.39
2011-04-26,651.0
2011-04-27,649.75
2011-04-28,648.75
2011-04-29,647.7
2011-05-02,647.7
2011-05-03,648.38
2011-05-04,648.0
2011-05-05,648.05
2011-05-06,648.05
2011-05-09,648.05
2011-05-10,647.85
2011-05-11,647.9
2011-05-12,648.45
2011-05-13,648.4
2011-05-16,649.25
2011-05-17,649.1
2011-05-18,649.03
2011-05-19,649.05
2011-05-20,647.8
2011-05-23,649.3
2011-05-24,648.4
2011-05-25,647.95
2011-05-26,647.85
2011-05-27,647.6
2011-05-30,647.0
2011-05-31,646.45
2011-06-01,646.45
2011-06-02,646.9
2011-06-03,646.65
2011-06-06,646.65
2011-06-07,646.6
2011-06-08,646.25
2011-06-09,646.27
2011-06-10,646.72
2011-06-13,646.82
2011-06-14,646.47
2011-06-15,646.71
2011-06-16,645.78
2011-06-17,645.58
2011-06-20,646.42
2011-06-21,645.03
2011-06-22,644.88
2011-06-23,645.33
2011-06-24,645.93
2011-06-27,646.08
2011-06-28,645.48
2011-06-29,644.78
2011-06-30,644.78
2011-07-01,645.08
2011-07-04,644.86
2011-07-05,645.33
2011-07-06,645.21
2011-07-07,645.14
2011-07-08,645.01
2011-07-11,645.24
2011-07-12,645.73
2011-07-13,645.33
2011-07-14,644.23
2011-07-15,644.88
2011-07-18,645.28
2011-07-19,644.88
2011-07-20,644.28
2011-07-21,643.43
2011-07-22,643.13
2011-07-25,642.98
2011-07-26,642.63
2011-07-27,642.88
2011-07-28,642.73
2011-07-29,642.13
2011-08-01,641.88
2011-08-02,642.28
2011-08-03,641.98
2011-08-04,642.35
2011-08-05,642.48
2011-08-08,642.08
2011-08-09,641.49
2011-08-10,640.44
2011-08-11,637.94
2011-08-12,637.39
2011-08-15,637.69
2011-08-16,636.8
2011-08-17,637.1
2011-08-18,637.33
2011-08-19,637.79
2011-08-22,638.29
2011-08-23,638.29
2011-08-24,637.39
2011-08-25,637.64
2011-08-26,637.27
2011-08-29,636.7
2011-08-30,636.6
2011-08-31,636.78
2011-09-01,636.76
2011-09-02,636.75
2011-09-05,637.16
2011-09-06,637.58
2011-09-07,637.74
2011-09-08,637.0
2011-09-09,637.29
2011-09-12,637.34
2011-09-13,638.46
2011-09-14,638.12
2011-09-15,637.79
2011-09-16,636.9
2011-09-19,637.26
2011-09-20,636.8
2011-09-21,636.74
2011-09-22,637.1
2011-09-23,637.44
2011-09-26,638.29
2011-09-27,638.29
2011-09-28,637.59
2011-09-29,638.49
2011-09-30,636.8
2011-10-03,636.8
2011-10-04,636.8
2011-10-05,636.8
2011-10-06,636.8
2011-10-07,636.8
2011-10-10,633.45
2011-10-11,635.1
2011-10-12,634.55
2011-10-13,636.8
2011-10-14,636.15
2011-10-17,635.58
2011-10-18,636.5
2011-10-19,636.35
2011-10-20,637.0
2011-10-21,637.02
2011-10-24,636.0
2011-10-25,634.6
2011-10-26,633.9
2011-10-27,634.6
