,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,恺英网络,2517,90,0.19,0.62,0.19,0.5
1,科创信息,300730,64,0.14,0.73,0.12,0.515
2,冠豪高新,600433,93,0.16,0.68,0.16,0.497
3,清源股份,603628,89,0.06,0.75,0.19,0.456
4,深康佳A,16,97,0.15,0.79,0.05,0.546
5,隆基股份,601012,78,0.21,0.63,0.17,0.527
6,以岭药业,2603,57,0.12,0.75,0.12,0.498
