,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,老板电器,2508,63,0.14,0.76,0.1,0.516
1,百合花,603823,86,0.1,0.87,0.02,0.536
2,厦门港务,905,79,0.19,0.77,0.04,0.545
3,北新路桥,2307,46,0.15,0.76,0.09,0.516
4,宝钛股份,600456,47,0.19,0.72,0.09,0.533
5,通威股份,600438,67,0.16,0.67,0.16,0.508
6,雪莱特,2076,87,0.07,0.77,0.16,0.484
