,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,润和软件,300339,55,0.27,0.62,0.11,0.573
1,深高速,600548,80,0.12,0.74,0.14,0.5
2,高盟新材,300200,46,0.17,0.65,0.17,0.514
3,华兰生物,2007,56,0.23,0.66,0.11,0.549
4,京新药业,2020,46,0.26,0.63,0.11,0.564
5,中颖电子,300327,72,0.18,0.67,0.15,0.529
