,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,精工钢构,600496,48,0.19,0.79,0.02,0.558
1,深高速,600548,79,0.23,0.7,0.08,0.559
2,网达软件,603189,47,0.13,0.77,0.11,0.509
3,通达股份,2560,43,0.16,0.77,0.07,0.517
4,中远海能,600026,88,0.09,0.74,0.17,0.47
5,三一重工,600031,29,0.17,0.72,0.1,0.545
6,福莱特,601865,28,0.14,0.68,0.18,0.503
