,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,傲农生物,603363,55,0.22,0.67,0.11,0.514
1,泰达股份,652,63,0.25,0.57,0.17,0.519
2,创元科技,551,80,0.16,0.74,0.1,0.508
3,海格通信,2465,35,0.14,0.66,0.2,0.481
4,中贝通信,603220,66,0.14,0.77,0.09,0.522
5,康辰药业,603590,44,0.16,0.55,0.3,0.459
6,灵康药业,603669,55,0.27,0.58,0.15,0.559
