,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,郴电国际,600969,51,0.1,0.78,0.12,0.482
1,微芯生物,688321,62,0.19,0.69,0.11,0.532
2,精工钢构,600496,65,0.14,0.85,0.02,0.535
3,双汇发展,895,68,0.13,0.82,0.04,0.516
4,透景生命,300642,45,0.22,0.73,0.04,0.543
5,健友股份,603707,95,0.22,0.68,0.09,0.534
6,博济医药,300404,66,0.17,0.8,0.03,0.539
