,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,同方股份,600100,76,0.21,0.71,0.08,0.543
1,神马股份,600810,57,0.21,0.7,0.09,0.532
2,网宿科技,300017,76,0.29,0.62,0.09,0.562
3,吉电股份,875,88,0.17,0.73,0.1,0.512
4,龙蟒佰利,2601,59,0.15,0.75,0.1,0.525
5,中天科技,600522,57,0.18,0.79,0.04,0.533
6,卓胜微,300782,48,0.29,0.65,0.06,0.565
