,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,世纪华通,2602,53,0.15,0.77,0.08,0.505
1,海欣食品,2702,76,0.29,0.67,0.04,0.575
2,华菱星马,600375,67,0.21,0.73,0.06,0.54
3,飞天诚信,300386,78,0.24,0.64,0.12,0.547
4,富春环保,2479,86,0.1,0.66,0.23,0.47
5,博晖创新,300318,68,0.25,0.65,0.1,0.545
6,特锐德,300001,69,0.12,0.78,0.1,0.5
