,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,上海钢联,300226,43,0.21,0.7,0.09,0.53
1,富祥药业,300497,49,0.16,0.76,0.08,0.527
2,金莱特,2723,51,0.12,0.82,0.06,0.521
3,复星医药,600196,54,0.22,0.7,0.07,0.54
4,海印股份,861,52,0.23,0.67,0.1,0.555
5,仟源医药,300254,63,0.22,0.7,0.08,0.542
6,中核钛白,2145,43,0.19,0.7,0.12,0.529
