,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,家家悦,603708,49,0.14,0.65,0.2,0.468
1,靖远煤电,552,41,0.1,0.63,0.27,0.449
2,百傲化学,603360,46,0.15,0.61,0.24,0.462
3,大秦铁路,601006,44,0.16,0.64,0.2,0.474
4,江淮汽车,600418,102,0.17,0.65,0.19,0.493
5,中化国际,600500,52,0.19,0.77,0.04,0.555
6,芯海科技,688595,23,0.17,0.78,0.04,0.54
