,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,理邦仪器,300206,39,0.21,0.69,0.1,0.544
1,恒润股份,603985,62,0.23,0.76,0.02,0.562
2,万泰生物,603392,88,0.24,0.69,0.07,0.548
3,海尔生物,688139,28,0.21,0.75,0.04,0.564
4,安道麦A,553,52,0.08,0.79,0.13,0.48
5,华电国际,600027,44,0.09,0.84,0.07,0.509
6,双塔食品,2481,34,0.09,0.85,0.06,0.517
