,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,乐惠国际,603076,58,0.1,0.79,0.1,0.512
1,冠豪高新,600433,43,0.12,0.79,0.09,0.497
2,交建股份,603815,42,0.1,0.83,0.07,0.501
3,兴业科技,2674,62,0.16,0.77,0.06,0.521
4,东北制药,597,50,0.1,0.82,0.08,0.5
5,德方纳米,300769,60,0.18,0.8,0.02,0.55
6,以岭药业,2603,56,0.12,0.82,0.05,0.514
