,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,寿仙谷,603896,29,0.07,0.69,0.24,0.42
1,广电网络,600831,32,0.12,0.72,0.16,0.481
2,安靠智电,300617,56,0.18,0.77,0.05,0.542
3,德恩精工,300780,67,0.1,0.81,0.09,0.504
4,启迪环境,826,53,0.13,0.72,0.15,0.503
5,弘亚数控,2833,57,0.11,0.82,0.07,0.514
6,海思科,2653,48,0.19,0.73,0.08,0.531
