,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,海大集团,2311,48,0.1,0.62,0.27,0.43
1,赢合科技,300457,64,0.22,0.64,0.14,0.52
2,联赢激光,688518,38,0.18,0.71,0.11,0.511
3,东安动力,600178,33,0.12,0.82,0.06,0.503
4,理邦仪器,300206,39,0.13,0.77,0.1,0.497
5,新强联,300850,61,0.16,0.77,0.07,0.534
6,杭齿前进,601177,33,0.12,0.82,0.06,0.512
