,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,科华生物,2022,87,0.09,0.84,0.07,0.514
1,东山精密,2384,82,0.18,0.71,0.11,0.524
2,新凤鸣,603225,53,0.3,0.66,0.04,0.602
3,达实智能,2421,55,0.15,0.73,0.13,0.517
4,泰达股份,652,91,0.12,0.76,0.12,0.523
5,金溢科技,2869,90,0.28,0.62,0.1,0.573
6,新希望,876,85,0.14,0.78,0.08,0.511
