,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,青岛双星,599,32,0.31,0.53,0.16,0.574
1,中远海能,600026,79,0.19,0.66,0.15,0.505
2,银江股份,300020,59,0.27,0.58,0.15,0.54
3,奥翔药业,603229,24,0.21,0.75,0.04,0.555
4,健友股份,603707,82,0.23,0.68,0.09,0.548
5,诚志股份,990,81,0.19,0.74,0.07,0.551
6,科华恒盛,2335,54,0.13,0.74,0.13,0.505
