,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,平治信息,300571,73,0.18,0.67,0.15,0.513
1,中科信息,300678,54,0.15,0.7,0.15,0.516
2,格林美,2340,84,0.23,0.64,0.13,0.523
3,海格通信,2465,39,0.15,0.72,0.13,0.498
4,安正时尚,603839,50,0.14,0.58,0.28,0.458
5,诚志股份,990,72,0.19,0.69,0.11,0.533
6,航民股份,600987,80,0.09,0.78,0.14,0.474
