,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,道恩股份,2838,58,0.19,0.74,0.07,0.529
1,天宜上佳,688033,69,0.14,0.64,0.22,0.466
2,东方电缆,603606,66,0.14,0.77,0.09,0.52
3,紫金矿业,601899,90,0.22,0.7,0.08,0.53
4,东材科技,601208,64,0.25,0.7,0.05,0.559
5,孚能科技,688567,94,0.19,0.7,0.11,0.537
6,大北农,2385,50,0.24,0.68,0.08,0.536
