,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,赛诺医疗,688108,85,0.25,0.66,0.09,0.552
1,利欧股份,2131,59,0.19,0.71,0.1,0.532
2,粤水电,2060,57,0.16,0.77,0.07,0.533
3,海翔药业,2099,71,0.21,0.73,0.06,0.562
4,雅戈尔,600177,47,0.06,0.83,0.11,0.499
5,圣湘生物,688289,53,0.15,0.77,0.08,0.523
6,安利股份,300218,68,0.25,0.66,0.09,0.548
