,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,中芯国际,688981,35,0.2,0.71,0.09,0.545
1,*ST科陆,2121,86,0.07,0.84,0.09,0.502
2,特一药业,2728,61,0.2,0.66,0.15,0.512
3,深康佳A,16,96,0.21,0.68,0.11,0.538
4,拓维信息,2261,92,0.17,0.59,0.24,0.498
5,深天地A,23,46,0.11,0.72,0.17,0.479
6,健帆生物,300529,90,0.24,0.68,0.08,0.556
