,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,万华化学,600309,73,0.26,0.67,0.07,0.541
1,蓝焰控股,968,93,0.11,0.67,0.23,0.474
2,兄弟科技,2562,63,0.14,0.78,0.08,0.512
3,*ST华映,536,42,0.14,0.81,0.05,0.525
4,瑞普生物,300119,88,0.24,0.73,0.03,0.56
5,众兴菌业,2772,37,0.11,0.78,0.11,0.503
6,新通联,603022,88,0.17,0.73,0.1,0.541
