,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,奥美医疗,2950,41,0.27,0.66,0.07,0.571
1,明德生物,2932,62,0.13,0.81,0.06,0.525
2,美尚生态,300495,44,0.25,0.68,0.07,0.574
3,圣农发展,2299,61,0.34,0.62,0.03,0.591
4,东华软件,2065,45,0.18,0.76,0.07,0.531
5,京蓝科技,711,60,0.27,0.57,0.17,0.542
6,招商南油,601975,68,0.18,0.69,0.13,0.518
