,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,天音控股,829,61,0.18,0.77,0.05,0.535
1,穗恒运A,531,46,0.22,0.67,0.11,0.509
2,锦泓集团,603518,49,0.12,0.63,0.24,0.454
3,宏大爆破,2683,68,0.16,0.78,0.06,0.547
4,今飞凯达,2863,48,0.21,0.6,0.19,0.514
5,科伦药业,2422,67,0.19,0.73,0.07,0.529
6,云海金属,2182,97,0.29,0.67,0.04,0.573
