,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,*ST德豪,2005,93,0.16,0.77,0.06,0.512
1,众应互联,2464,92,0.08,0.74,0.18,0.476
2,德邦股份,603056,94,0.2,0.72,0.07,0.531
3,富临精工,300432,54,0.09,0.72,0.19,0.479
4,依米康,300249,78,0.14,0.83,0.03,0.539
5,浙江震元,705,76,0.08,0.75,0.17,0.474
6,润建股份,2929,80,0.14,0.8,0.06,0.532
