,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,迈得医疗,688310,46,0.17,0.76,0.07,0.534
1,上机数控,603185,69,0.19,0.64,0.17,0.495
2,雅本化学,300261,89,0.17,0.79,0.04,0.55
3,宏大爆破,2683,47,0.32,0.62,0.06,0.567
4,大族激光,2008,61,0.23,0.67,0.1,0.542
5,柳钢股份,601003,94,0.2,0.73,0.06,0.544
6,久日新材,688199,95,0.17,0.72,0.12,0.524
