,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,思源电气,2028,79,0.06,0.86,0.08,0.5
1,华贸物流,603128,31,0.16,0.71,0.13,0.498
2,三变科技,2112,60,0.15,0.78,0.07,0.51
3,汇中股份,300371,41,0.15,0.68,0.17,0.483
4,成都银行,601838,93,0.17,0.65,0.18,0.497
5,天味食品,603317,37,0.08,0.81,0.11,0.492
6,达安基因,2030,81,0.11,0.75,0.14,0.493
