,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,三全食品,2216,33,0.18,0.79,0.03,0.534
1,海特高新,2023,94,0.14,0.76,0.11,0.515
2,天康生物,2100,56,0.25,0.64,0.11,0.533
3,星期六,2291,41,0.15,0.83,0.02,0.522
4,精工钢构,600496,63,0.11,0.75,0.14,0.473
5,宝莱特,300246,54,0.19,0.76,0.06,0.542
6,上海环境,601200,102,0.12,0.73,0.16,0.491
