,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,正邦科技,2157,38,0.24,0.68,0.08,0.541
1,梅花生物,600873,39,0.23,0.51,0.26,0.487
2,道恩股份,2838,52,0.19,0.73,0.08,0.544
3,德利股份,605198,45,0.11,0.6,0.29,0.453
4,金科环境,688466,43,0.07,0.84,0.09,0.489
5,东方航空,600115,83,0.14,0.69,0.17,0.513
6,中集集团,39,62,0.15,0.79,0.06,0.52
