,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,华新水泥,600801,85,0.16,0.67,0.16,0.506
1,东杰智能,300486,55,0.31,0.64,0.05,0.586
2,恒力石化,600346,81,0.2,0.79,0.01,0.559
3,天原集团,2386,70,0.33,0.53,0.14,0.557
4,上海凯宝,300039,38,0.13,0.74,0.13,0.497
5,嘉元科技,688388,60,0.23,0.68,0.08,0.549
6,中国电研,688128,59,0.2,0.71,0.08,0.541
