,股票名称,股票代码,总分词数量,正面占比,中立占比,负面占比,平均分
0,众兴菌业,2772,47,0.15,0.72,0.13,0.505
1,明阳智能,601615,52,0.08,0.77,0.15,0.463
2,祥鑫科技,2965,60,0.15,0.68,0.17,0.501
3,巨星科技,2444,67,0.25,0.64,0.1,0.548
4,汉嘉设计,300746,57,0.11,0.75,0.14,0.48
5,汇顶科技,603160,38,0.13,0.63,0.24,0.459
6,人福医药,600079,43,0.12,0.81,0.07,0.505
