,code,start,predict,rate,true
208,2460.0,21.906,25.570873799999998,1.1673,23.404
31,600188.0,10.54,12.116783999999999,1.1496,10.580000000000002
214,2555.0,17.608,19.6470064,1.1158,18.612000000000002
51,600482.0,20.986,23.349023600000002,1.1126,21.296000000000006
216,2624.0,28.881999999999998,31.810634799999995,1.1014,28.692
146,603986.0,153.226,168.395374,1.099,168.56599999999997
130,601898.0,4.784000000000002,5.220300800000001,1.0912,4.884
123,601808.0,14.466,15.785299199999999,1.0912,15.313999999999998
151,157.0,5.916,6.4383828,1.0883,5.992000000000001
236,300498.0,40.736,44.2678112,1.0867,39.448
141,603019.0,34.078,36.9848534,1.0853,33.724000000000004
95,601111.0,8.292,8.9785776,1.0828,8.863999999999997
45,600383.0,12.23,13.219407,1.0809,12.146
165,656.0,6.934,7.4824794,1.0791,6.843999999999999
78,600867.0,16.285999999999998,17.559565199999998,1.0782,15.594
217,2714.0,98.828,106.37845920000001,1.0764,95.65
222,300017.0,9.81,10.541826,1.0746,9.096
86,600977.0,13.602,14.603107200000002,1.0736,13.562000000000001
209,2466.0,25.625999999999998,27.4095696,1.0696,28.148000000000003
12,600029.0,6.7040000000000015,7.1699280000000005,1.0695,7.08
100,601186.0,9.568,10.232019199999998,1.0694,9.824000000000002
224,300059.0,15.224,16.231828800000002,1.0662,15.168
206,2415.0,32.624,34.74456,1.065,33.559999999999995
227,300122.0,48.372,51.2307852,1.0591,48.688
93,601021.0,44.23,46.711303,1.0561,44.51199999999999
223,300033.0,99.67399999999999,105.2657114,1.0561,98.61
44,600372.0,13.844,14.605419999999999,1.055,13.937999999999999
63,600588.0,30.4,32.06592,1.0548,29.532
16,600038.0,45.128,47.5694248,1.0541,45.09400000000001
96,601117.0,6.034,6.347768,1.052,6.146
197,2236.0,16.317999999999998,17.166535999999997,1.052,17.148
228,300124.0,24.826,26.1020564,1.0514,25.23
187,2032.0,76.22399999999998,80.08093439999998,1.0506,80.024
186,2027.0,5.9479999999999995,6.248373999999999,1.0505,6.112
157,425.0,4.614,4.837778999999999,1.0485,4.563999999999999
235,300433.0,13.285999999999998,13.917084999999998,1.0475,14.170000000000002
91,601012.0,22.806,23.850514800000003,1.0458,22.788
49,600436.0,107.922,112.71373679999999,1.0444,108.91
189,2050.0,14.272,14.9042496,1.0443,14.352
38,600299.0,10.31,10.746113000000001,1.0423,10.57
232,300251.0,8.816,9.168640000000002,1.04,9.126
184,2010.0,7.92,8.235216000000001,1.0398,7.4300000000000015
192,2120.0,34.224000000000004,35.541624000000006,1.0385,32.444
143,603288.0,110.356,114.5053856,1.0376,114.914
181,2001.0,20.08,20.81292,1.0365,21.02
14,600031.0,13.815999999999999,14.306468,1.0355,14.056
53,600498.0,26.59800000000001,27.50499180000001,1.0341,26.842
134,601933.0,8.361999999999998,8.639618399999998,1.0332,8.282
159,568.0,86.38199999999998,89.21532959999998,1.0328,85.90799999999999
115,601607.0,18.770000000000003,19.380025000000003,1.0325,18.922
10,600027.0,3.5839999999999996,3.7004799999999993,1.0325,3.654
90,601009.0,8.758000000000001,9.033877000000002,1.0315,8.884
54,600516.0,10.824000000000002,11.1606264,1.0311,11.118
193,2142.0,27.31,28.132030999999998,1.0301,28.474
9,600023.0,3.9,4.01037,1.0283,3.896
140,601998.0,6.202000000000001,6.373175200000001,1.0276,6.353999999999999
37,600297.0,3.7,3.7999,1.027,3.592
81,600893.0,21.192,21.759945599999998,1.0268,21.096
30,600177.0,6.507999999999999,6.682414399999999,1.0268,6.76
160,596.0,111.87,114.800994,1.0262,112.184
136,601985.0,5.142,5.2715784,1.0252,5.058000000000002
64,600606.0,6.888,7.061577599999999,1.0252,6.777999999999999
183,2008.0,38.56999999999999,39.52653599999999,1.0248,37.65600000000001
188,2044.0,15.084,15.458083199999999,1.0248,16.184
219,2773.0,32.016000000000005,32.7459648,1.0228,30.974
212,2493.0,11.097999999999999,11.351034399999998,1.0228,11.32
177,938.0,29.952000000000005,30.619929600000006,1.0223,29.5
158,553.0,9.074000000000002,9.272720600000001,1.0219,9.232000000000001
199,2271.0,23.358000000000004,23.869540200000007,1.0219,24.478
202,2310.0,5.016,5.1233424,1.0214,4.952000000000001
229,300136.0,41.618,42.496139799999995,1.0211,41.83
148,1.0,16.624000000000002,16.964792000000003,1.0205,16.914
50,600438.0,12.894,13.1570376,1.0204,12.91
109,601318.0,88.59,90.388377,1.0203,89.85799999999998
39,600332.0,34.248000000000005,34.939809600000004,1.0202,34.751999999999995
36,600276.0,91.08,92.837844,1.0193,91.314
150,69.0,7.0360000000000005,7.1675732,1.0187,7.1800000000000015
48,600415.0,3.866000000000001,3.937134400000001,1.0184,3.906
215,2594.0,44.966,45.775388,1.018,44.25
26,600115.0,5.222,5.315996,1.018,5.4700000000000015
59,600566.0,24.746,25.1716312,1.0172,24.392000000000003
185,2024.0,10.672,10.848088,1.0165,10.7
2,600009.0,75.814,77.01944259999999,1.0159,78.21600000000002
200,2294.0,18.874000000000002,19.162772200000003,1.0153,18.912
198,2241.0,18.486,18.763289999999998,1.015,19.864
106,601229.0,9.41,9.546445,1.0145,9.418
8,600019.0,5.851999999999999,5.933928,1.014,5.68
194,2179.0,39.89400000000001,40.45251600000001,1.014,39.226
87,600998.0,13.565999999999999,13.7206524,1.0114,13.638
118,601633.0,8.998000000000003,9.098777600000004,1.0112,9.419999999999998
32,600196.0,25.332,25.613185200000004,1.0111,26.182
22,600089.0,6.464,6.531872,1.0105,6.5180000000000025
7,600018.0,5.837999999999999,5.897547599999999,1.0102,5.9060000000000015
220,300003.0,29.59,29.850391999999996,1.0088,31.71
117,601628.0,32.256,32.530176,1.0085,35.215999999999994
145,603858.0,20.44,20.611696000000002,1.0084,20.334
180,1979.0,19.114,19.257355,1.0075,18.936
111,601336.0,48.878,49.2396972,1.0074,49.044
167,671.0,6.255999999999999,6.3022944,1.0074,6.644
178,961.0,8.360000000000001,8.419356000000002,1.0071,8.373999999999999
0,600000.0,12.664,12.752647999999999,1.007,12.788
74,600795.0,2.344,2.3604079999999996,1.007,2.34
27,600118.0,21.08,21.214911999999998,1.0064,21.332
1,600004.0,18.962,19.0814606,1.0063,18.282
98,601166.0,18.880000000000006,18.993280000000006,1.006,20.006
68,600674.0,9.716,9.7684664,1.0054,9.95
129,601888.0,90.962,91.43500240000002,1.0052,91.85600000000001
113,601390.0,5.824,5.85312,1.005,5.888
55,600519.0,1184.02,1189.34809,1.0045,1199.592
149,2.0,26.712,26.8295328,1.0044,26.74
71,600704.0,5.654,5.6771814,1.0041,5.6720000000000015
162,627.0,6.911999999999999,6.937574399999999,1.0037,6.846000000000001
35,600271.0,21.084000000000003,21.162010800000004,1.0037,21.26
61,600583.0,5.872000000000001,5.890203200000001,1.0031,6.256
225,300070.0,7.56,7.579655999999999,1.0026,7.806
124,601818.0,4.452,4.4626848,1.0024,4.545999999999999
80,600887.0,28.236,28.2868248,1.0018,29.582
4,600011.0,5.741999999999999,5.752335599999999,1.0018,5.7520000000000024
174,876.0,22.322,22.3510186,1.0013,22.812
72,600705.0,4.644,4.650037200000001,1.0013,4.6339999999999995
20,600066.0,14.244000000000002,14.261092800000004,1.0012,14.606
176,898.0,3.026,3.0296312,1.0012,2.99
84,600926.0,9.058000000000002,9.063434800000001,1.0006,9.354
154,338.0,12.015999999999998,12.022007999999998,1.0005,12.898
139,601997.0,9.182,9.1856728,1.0004,9.534
155,402.0,7.987999999999999,7.983207199999998,0.9994,7.994
77,600837.0,14.292000000000002,14.2834248,0.9994,14.508
52,600487.0,14.813999999999998,14.803630199999997,0.9993,15.884
105,601228.0,3.842,3.8389264,0.9992,3.818
190,2065.0,7.444,7.4373004,0.9991,7.67
107,601238.0,11.628,11.6175348,0.9991,11.562
171,783.0,6.884,6.8764276,0.9989,6.747999999999998
76,600816.0,4.35,4.34391,0.9986,4.351999999999999
173,858.0,131.656,131.4453504,0.9984,133.732
41,600352.0,14.024000000000001,13.9973544,0.9981,14.1
135,601939.0,7.314,7.299372,0.998,7.4099999999999975
6,600016.0,6.166,6.153051400000001,0.9979,6.234
204,2352.0,39.92999999999999,39.846146999999995,0.9979,39.73
94,601088.0,18.384,18.338040000000003,0.9975,18.168
110,601328.0,5.64,5.6259,0.9975,5.7040000000000015
108,601288.0,3.636,3.6261828,0.9973,3.6519999999999997
144,603833.0,112.50400000000002,112.15523760000002,0.9969,112.934
57,600535.0,14.858,14.8030254,0.9963,15.21
