,code,start,predict,rate,true
69,600690.0,15.992,15.929631200000001,0.9961,18.122
92,601018.0,3.7439999999999998,3.7286496,0.9959,3.742
175,895.0,29.044,28.9220152,0.9958,31.964
179,963.0,25.546,25.4335976,0.9956,26.454
137,601988.0,3.698,3.6809892,0.9954,3.714
161,625.0,7.308,7.274383199999999,0.9954,7.664
67,600663.0,13.748,13.672386,0.9945,13.638
99,601169.0,5.5520000000000005,5.517022400000001,0.9937,5.6979999999999995
97,601155.0,32.791999999999994,32.575572799999996,0.9934,33.59
104,601225.0,8.486,8.424900800000001,0.9928,8.517999999999997
120,601727.0,4.95,4.91436,0.9928,4.9
65,600637.0,9.064,8.9923944,0.9921,8.927999999999997
82,600900.0,17.712,17.5720752,0.9921,17.994
205,2410.0,32.726,32.464192,0.992,33.356
47,600398.0,7.707999999999998,7.645565199999998,0.9919,7.848000000000001
15,600036.0,35.97199999999999,35.666237999999986,0.9915,37.78
201,2304.0,102.304,101.383264,0.991,100.774
42,600362.0,14.228,14.0985252,0.9909,14.412
114,601398.0,5.928,5.8722768,0.9906,5.9239999999999995
23,600104.0,23.57,23.339014,0.9902,23.844
83,600919.0,7.124,7.052759999999999,0.99,7.297999999999999
169,768.0,15.107999999999999,14.956919999999998,0.99,15.784
233,300296.0,6.698,6.6303502000000005,0.9899,6.766
11,600028.0,4.95,4.8930750000000005,0.9885,4.926
88,600999.0,16.57,16.37116,0.988,16.25
66,600660.0,21.624,21.347212799999998,0.9872,22.375999999999998
58,600547.0,32.258,31.845097600000003,0.9872,31.128
75,600809.0,89.15,87.999965,0.9871,91.494
121,601788.0,11.505999999999998,11.357572599999997,0.9871,11.634
19,600061.0,12.334,12.173658,0.987,12.452
46,600390.0,7.644,7.5400416,0.9864,7.757999999999999
5,600015.0,7.572,7.465992,0.986,7.6759999999999975
13,600030.0,22.072,21.7585776,0.9858,22.488000000000003
40,600339.0,3.592,3.5395568,0.9854,3.53
234,300408.0,18.832,18.5514032,0.9851,17.884
28,600170.0,3.4120000000000004,3.3563844000000005,0.9837,3.466
89,601006.0,7.6400000000000015,7.515468000000001,0.9837,7.802
103,601216.0,3.01,2.960636,0.9836,3.04
230,300142.0,29.701999999999998,29.205976599999996,0.9833,30.894
125,601857.0,5.9700000000000015,5.8673160000000015,0.9828,5.85
112,601377.0,6.376,6.265695200000001,0.9827,6.506
79,600886.0,8.504,8.356880799999999,0.9827,8.672
60,600570.0,79.188,77.80221,0.9825,77.25000000000001
231,300144.0,29.444000000000006,28.925785600000008,0.9824,29.324
213,2508.0,30.904000000000003,30.353908800000003,0.9822,32.142
170,776.0,13.845999999999998,13.596771999999998,0.982,13.992
102,601211.0,17.278,16.9635404,0.9818,17.336000000000002
191,2081.0,8.142000000000001,7.988930400000001,0.9812,8.024000000000001
196,2230.0,33.36800000000001,32.66059840000001,0.9788,33.824
126,601877.0,22.918000000000006,22.42984660000001,0.9787,23.812
226,300072.0,5.7840000000000025,5.660222400000003,0.9786,5.926
218,2736.0,12.332,12.068095200000002,0.9786,12.25
207,2456.0,11.14,10.89492,0.978,12.17
85,600958.0,10.102,9.874705,0.9775,10.126
163,630.0,2.1719999999999997,2.1226955999999997,0.9773,2.174
166,661.0,452.46,442.098666,0.9771,476.736
131,601899.0,3.354,3.2741748,0.9762,3.5420000000000003
210,2468.0,21.728,21.204355200000002,0.9759,20.676
221,300015.0,41.15,40.150055,0.9757,41.554
3,600010.0,1.412,1.3772648,0.9754,1.344
73,600760.0,29.502,28.7733006,0.9753,29.324
33,600208.0,3.886,3.78885,0.975,4.7200000000000015
18,600050.0,6.144,5.9885568000000005,0.9747,6.086
203,2311.0,33.71,32.83354,0.974,34.08
168,728.0,8.494,8.2536198,0.9717,8.51
152,166.0,4.828,4.6908848,0.9716,4.846
133,601919.0,4.62,4.486482,0.9711,4.92
70,600703.0,15.175999999999998,14.735895999999999,0.971,15.482
211,2475.0,32.744,31.7846008,0.9707,34.138000000000005
17,600048.0,14.682,14.2444764,0.9702,14.76
119,601668.0,5.322,5.1612756,0.9698,5.246
116,601618.0,2.772,2.6877312,0.9696,2.742
153,333.0,55.09,53.40424600000001,0.9694,59.49800000000001
24,600109.0,8.61,8.345673,0.9693,8.588
138,601992.0,3.35,3.24548,0.9688,3.3160000000000003
29,600176.0,8.068000000000001,7.814664800000002,0.9686,8.658000000000001
164,651.0,59.48799999999999,57.58438399999999,0.968,63.86999999999999
62,600585.0,42.29,40.932491,0.9679,43.961999999999996
56,600522.0,8.162,7.888573000000001,0.9665,8.200000000000001
142,603160.0,187.02,180.56781,0.9655,194.5
195,2202.0,12.77,12.312833999999999,0.9642,12.8
43,600369.0,4.51,4.335012,0.9612,4.508
21,600068.0,5.747999999999998,5.520379199999999,0.9604,5.9540000000000015
101,601198.0,11.012,10.566014000000001,0.9595,11.11
128,601881.0,10.744000000000002,10.304570400000001,0.9591,11.21
132,601901.0,6.837999999999999,6.548752599999999,0.9577,6.7360000000000015
172,786.0,19.042,18.228906600000002,0.9573,20.79
122,601800.0,9.62,9.156315999999999,0.9518,9.306000000000001
34,600233.0,12.778,12.130155400000001,0.9493,12.99
147,603993.0,3.43,3.242036,0.9452,3.4960000000000004
25,600111.0,10.154,9.5945146,0.9449,10.176
156,423.0,34.788000000000004,32.35284000000001,0.93,35.348
182,2007.0,36.196,33.5211156,0.9261,36.414
127,601878.0,8.854,8.1731274,0.9231,9.026
