,股票名称,股票代码,公告信息
1,神力股份,603819,　　神力股份（603819）10月15日晚公告，公司拟以现金购买砺剑集团持有的深圳砺剑防卫技术有限公司55%的股权，交易价格为2.64亿元。同时，公司拟对砺剑防卫增资3000万元。交易对方承诺标的公司2020年度、2021年度、2022年度实现的净利润分别不低于1500万元、4000万元、6500万元。公司拟通过本次交易开始切入安防军工领域，促进上市公司业务向“电机零部件+安防军工”双轮驱动战略转型。
2,回天新材,300041,　　回天新材（300041）10月15日晚间公告，公司控股子公司常州回天以自筹资金5800万元投资建设年产3000万平方米太阳能电池背膜项目。另外，公司全资子公司上海回天以自筹资金1200万元投资建设年产1.87万吨光伏有机硅胶项目。新增产线建成投产后，常州回天的太阳能电池背膜产能将增长60%以上，上海回天的光伏单组分有机硅胶产能将提升58%以上。
3,雅戈尔,600177,　　雅戈尔（600177）10月15日晚公告，9月15日-10月15日，公司出售宁波银行4428万股，交易金额为14.83亿元，净利润为4.23亿元，占2019年度经审计净利润的10.66%。截至10月15日收盘，公司累计出售宁波银行2.36亿股，交易金额为78.6亿元，净利润为22.23亿元，公司仍持有宁波银行5.6亿股，占其总股本的9.33%。
4,士兰微,600460,　　士兰微（600460）10月15日晚公告，公司全资子公司成都士兰因推进业务发展的需要，拟增加注册资本1.9亿元，四川省集成电路和信息安全产业投资基金有限公司和阿坝州产业基金拟共同出资，全额认购本次成都士兰所增加的注册资本，其中：四川省产业基金认缴出资1.5亿元，占增资后成都士兰注册资本的15%；阿坝州产业基金以货币方式认缴出资4000万元，占增资后成都士兰注册资本的4%。
5,英搏尔,300681,　　英搏尔（300681）在互动平台表示，英搏尔与上汽通用五菱有长期的合作关系，在宏光MINI EV这款车型上也有供应配套合作关系。
6,天坛生物,600161,　　天坛生物（600161）15日晚公告，公司所属企业国药集团武汉血液制品有限公司临高武生单采血浆站于近日收到海南省卫生健康委员会签发的《单采血浆许可证》，有效期限自2020年9月18日至2022年9月17日。此外。公司所属成都蓉生收到蒙古国卫生部签发的规格为1ml100IU/瓶和2ml200IU/瓶的乙型肝炎人免疫球蛋白注册证书，标志着成都蓉生乙型肝炎人免疫球蛋白产品获得了蒙古国市场的准入资格。
7,京投发展,600683,　　京投发展（600683）10月15日晚发布业绩预告，预计前三季度净利润为9600万元左右，同比扭亏为盈，上年同期亏损2472万元。业绩预盈主要系：公司前三季度房地产业务实现交付较上年同期增加，且公司在规模逐步扩大情况下，商业模式不断创新，持续提升运营效率，努力压缩费用开支所致。
