,股票名称,股票代码,公告信息
1,九州通,600998,　　九州通（600998）9月15日晚间公告，公司拟以集中竞价交易方式回购公司股票，拟回购股票资金总额不低于3亿元，不超过6亿元，回购价格不超过26.8元/股。
2,海能达,002583,　　海能达（002583）9月15日晚间公告，公司与北非某国公共安全客户签署了专业无线通信终端设备采购项目的合同，合同金额512万美元（约合人民币3500万元），主要是为该国公共安全客户提供专业无线通信数字终端设备，包括手持终端、车载台等。合同有效期在3年内执行完毕，合同金额占公司2019年营业总收入的0.45%。
3,海目星,688559,　　海目星（688559）互动平台表示，公司募投项目之一研发中心项目已将半导体设备作为研发方向之一，公司正在积极布局半导体业务。目前主要客户有Apple、华为、富士康、伟创力等。
4,歌力思,603808,　　歌力思（603808）9月15日晚间公告，公司与腾讯云计算签署战略合作协议书，双方就腾讯云计算为公司智慧零售提供营销技术支持服务达成战略合作。
5,新产业,300832,　　新产业（300832）9月15日晚间公告，公司的新型冠状病毒化学发光试剂盒获得美国食品药品监督管理局（简称“FDA”）签发的紧急使用授权。新产业表示，产品实际销售情况取决于美国市场对新冠抗体检测的需求量及公司在美国市场拓展情况，目前尚无法预测其对公司未来业绩的影响。
6,露笑科技,002617,　　露笑科技（002617）9月15日晚间公告，公司与安徽长丰双凤经开区签署长丰县招商引资投资合作协议。公司将与合肥市长丰县政府，在长丰县共同投建第三代功率半导体（碳化硅）产业园，主要建设国际领先的第三代功率半导体（碳化硅）的设备制造、长晶生产、衬底加工、外延制作等产业链的研发和生产基地。项目总投资100亿元，其中一期投资21亿元。一期达产后，可形成年产24万片导电型碳化硅衬底片和5万片外延片的产能。
7,四会富仕,300852,　　四会富仕（300852）9月15日晚间公告，公司当日与四会市政府签订项目投资协议书，拟在四会市龙甫镇肇庆（四会）电子信息产业园内，投建年产200万平方米高可靠5G通信电路板基地。项目预计总投资10亿元，规划总面积约100亩。
