,股票名称,股票代码,公告信息
1,中信建投,601066,　　中信建投(601066)11月23日晚间公告，近日，公司接到北京国管中心承诺函，其就本次无偿划转进一步承诺：自北京金控集团成为公司股东之日起至原股份锁定期届满之日（即2021年6月20日），不主动转让所持有的北京金控集团的股权，但经政府或者国有资产管理部门批准进行的国有资产无偿划转等处置除外。北京国管中心持有北京金控集团100%的股权。
2,苏宁易购,002024,　　苏宁易购发布公告称，计划继续使用20亿自有资金对此前发行的7只债券进行购回，共包含18苏宁01、18苏宁02、18苏宁03、18苏宁04、18苏宁05、18苏宁06、18苏宁07。公告显示，本次债券购回面向所有债券持有人，债券购回方式为现金购回，资金总额计划为20亿元。此前，11月12日，苏宁易购发布公告称，使用自有资金对18苏宁01等7只债券进行购回，资金总额为10亿元。
3,回天新材,300041,　　回天新材(300041)11月23日晚间公告，公司拟在武汉东湖高新区投资建设回天华中新材料研发中心，打造我国及国际高端胶粘剂和新材料技术研发和试验发展平台，项目投资总额不超过5亿元。
4,海格通信,002465,　　海格通信(002465)11月23日晚间公告，公司近日与通信信息中心签署《战略合作协议》，双方针对北斗系统在道路运输领域应用开展深度合作，并共同推进北斗三号在交通领域的应用验证工作。通信信息中心为交通运输部直属事业单位。
5,安纳达,002136,　　安纳达(002136)在互动平台表示，目前子公司铜陵纳源生产的磷酸铁产品产销两旺，产品主要销往国内磷酸铁锂重要的生产企业，子公司正在进行磷酸铁项目改扩建，分两期改扩建至5万吨/年。
6,电子城,600658,　　电子城(600658)11月23日晚间公告，拟出资9333.36万元收购知鱼智联科技（福建）有限公司40%股权。知鱼智联是一家以云计算、人工智能行业解决方案为核心业务的企业。
7,太阳纸业,002078,　　太阳纸业(002078)11月23日在互动平台表示，公司老挝项目的原料进口是免税的，在老挝实施的“林浆纸一体化”项目稳步推进。老挝120万吨造纸项目中的两条分别年产40万吨的高档包装纸生产线均将在2021年春节前陆续进入试生产阶段，有计划销售到国内市场，届时将享受零关税待遇。
