,股票名称,股票代码,公告信息
1,道恩股份,002838,　　道恩股份（002838）8月25日晚间披露半年报，上半年实现营收22.75亿元，同比增长75.16%；净利润5.85亿元，同比增长640.99%；基本每股收益1.45元。公司拟每10股派发红利2.46元（含税）。公司除聚丙烯熔喷专用料爆发式增长外，其他改性塑料产品保持稳定发展。
2,天宜上佳,688033,　　天宜上佳（688033）8月25日晚间公告，公司当日收到了与广州局的下属子公司广州铁道车辆有限公司签订的复兴号标准动车组属地检修采购框架协议，双方合作有效期为5年，预计检修数量5.7万片。协议的签订标志着公司成功开拓了广州局动车组闸片属地检修市场，进一步扩大了公司检修产品型号范围。
3,东方电缆,603606,　　东方电缆（603606）8月25日晚间公告，近日，公司陆续收到招标代理机构的《中标通知书》，确认公司为华电阳江青洲三海上风电项目、华电玉环1号海上风电场、陆丰22-1油田开发等项目的中标单位，合计中标额20.4亿元，占公司最近一个会计年度营业收入的55.27%。
4,紫金矿业,601899,　　紫金矿业公告，公司完成对加拿大多伦多证券交易所上市公司圭亚那金田100%股权的收购。圭亚那金田计划于交割完成后1-3个交易日内从多伦多证券交易所退市。圭亚那金田Aurora金矿拥有探明+控制的金资源量118.69吨，平均品位3.15g/t，推断的金资源量59.13吨，平均品位2.28g/t；该项目为7000吨/天产能的在产矿山，交割完成后，年可增加公司黄金产量4吨以上。
5,东材科技,601208,　　东材科技（601208）8月25日晚间披露半年报，上半年公司实现营收8.75亿元，同比增长4.63%；净利2.27亿元，同比增长731%；扣非后净利6189万元，同比增长214%。报告期，公司取得子公司（胜通光科）的投资成本小于取得投资时应享有被投资单位可辨认净资产公允价值，产生净收益约1.55亿元。
6,孚能科技,688567,　　孚能科技公告，子公司孚能镇江近日收到东风汽车集团股份有限公司岚图汽车科技分公司的定点通知书。公司已被指定为东风岚图H56项目的动力电池供应商，承担其开发和未来供货的工作。东风岚图H56项目是东风集团高端纯电动车模块化平台的重要项目，是东风集团纯电动车全球主打平台。该车型预计在未来7年内电池需求5GWh，公司将按东风集团的要求在规定的时间内完成产品的配套开发、生产和交付。
7,大北农,002385,　　大北农（002385）8月25日晚披露半年报，上半年，公司营收为89.92亿元，同比增长10.43%；净利为8.93亿元，同比增长2556%。报告期，生猪供应仍存在缺口，上半年猪价维持高位运行，2020年1-6月份全国生猪均价33.90元/公斤。
