,股票名称,股票代码,公告信息
1,恺英网络,002517,　　恺英网络（002517）9月22日晚间公告，控股子公司嘉兴盛游与深圳市腾讯计算机系统有限公司签署《<玄中记>独家代理协议》。嘉兴盛游将《玄中记》的移动终端版本游戏在中国大陆地区的独家代理权授予腾讯计算机，利用各自的资源优势，就嘉兴盛游对《玄中记》在中国大陆地区的独家发行、运营、推广等事宜开展合作。合同期限为合同生效日开始，截至授权产品商业化上线满3年。
2,科创信息,300730,　　科创信息公告，财信金科在2020年9月1日至2020年9月21日期间，通过集中竞价交易方式，合计增持公司无限售流通股797.07万股，占公司总股本的比例为5%。本次增持股份的资金来源均为自有资金。财信金科的股东为湖南财信金融控股集团有限公司和湖南省财信信托有限责任公司。
3,冠豪高新,600433,　　冠豪高新（600433）9月22日晚公告，公司拟以发行A股的方式换股吸收合并粤华包，即公司作为合并方，向粤华包的所有换股股东发行A股股票交换该等股东所持有的粤华包的股票；同时，公司拟募集配套资金不超5亿元。此次换股吸收合并中，冠豪高新拟购买资产的交易价格为换股吸收合并粤华包的成交金额，为20.47亿元。公司上述重大资产重组方案获得国务院国资委批复，股票将于9月23日起复牌。
4,清源股份,603628,　　清源股份（603628）9月22日晚公告，公司当日与特变新能源公司签订《设备采购合同》。合同约定由公司向特变新能源公司就新疆维吾尔自治区石河子市69MW光伏示范项目（炳阳）2#地块、72MW光伏示范项目（晶皓）3#地块、223MW光伏示范项目（惠雯）4#地块提供斜单轴光伏跟踪支架。上述三个项目的设备采购合同金额合计1.99亿元，占公司2019年度营收的15.93%。
5,深康佳A,000016,　　深康佳A（000016）9月22日晚间公告，公司全资子公司康佳投控公司、全资孙公司康佳资本公司拟与黄海金控公司、盐城高新投公司等多家合作方共同发起成立“康佳盐城电子信息产业基金”，基金规模不超过30亿元，其中康佳投控公司和康佳资本公司拟合计出资不超过12.015亿元。该基金将重点投资与本公司业务相关的产业，有利于加快公司在电子信息产业的发展步伐，投资产业方向符合公司战略布局。
6,隆基股份,601012,　　隆基股份（601012）9月22日晚公告，根据战略发展需求，公司于9月22日与曲靖市人民政府、曲靖经济技术开发区管理委员会签署了项目投资协议，就公司在曲靖新增投资建设年产20GW单晶硅棒和硅片项目（二期项目）达成合作意向，总投资预计约40亿元。项目投产后有利于公司进一步提升高效单晶硅棒和硅片产能，提高市场规模和竞争力。
7,以岭药业,002603,　　以岭药业（002603）9月22日晚间公告，公司收到乌干达国家药品管理局（NDA）批准文件，批准公司药品连花清瘟胶囊符合乌干达植物药标准注册，标志着公司具备了在乌干达市场以植物药身份销售该产品的资格，对公司拓展海外市场带来积极影响。
