,股票名称,股票代码,公告信息
1,一品红,300723,　　一品红晚间发布公开发行可转债预案，拟发行不超5.3亿元可转债，募资用于生产车间升级改造、创新产业园（一期）建设和补充流动资金。
2,晋亿实业,601002,　　晋亿实业晚间公告，公司全资子公司晋亿物流拟进行增资扩股，引进战略投资者顺丰投资以及自然人余小敏、谷春光、黄贇和张萍。在此次交易实施前， 晋亿物流需完成交易前重组：晋亿物流将引入嘉兴福习企业管理有限公司为财务投资人，由晋亿实业以9734万元向其转让晋亿物流20.6%的股权；同时晋亿实业与其他投资者将设立宁波晋昌管理咨询合伙企业，用于未来实施晋亿物流的激励计划和引入其他外部投资人。
3,红日药业,300026,　　红日药业晚间公告，公司近日收到国家药监局下发的药品注册批件，涉及药品伊班膦酸钠。伊班膦酸钠注射液系第三代双膦酸盐类药物，主要治疗绝经后骨质疏松症、预防乳腺癌骨转移患者骨相关事件的发生、治疗伴有或不伴有骨转移的恶性肿瘤引起的高钙血症。此次获得药品注册批件，标志着公司具备了在国内市场销售该药品的资格。
4,ST天业,600807,　　ST天业晚间公告，公司参与投资的并购基金宁（金麒麟分析师）波挚信于2月28日至3月5日，通过集中竞价交易方式减持持有的三六零股票合计499.15万股，减持总金额为1.12亿元，预计会对公司净利润产生积极影响。ST天业同时公告，公司与济南北城控股签订《项目合作开发意向书》，拟共同开发包括308国道与梓东大道交汇处西北角地块规划建设用地在内的多块土地。
5,高鸿股份,000851,　　高鸿股份晚间公告，公司拟与北京百度网讯科技有限公司签订《百度Apollo智能交通生态合作框架协议》。公司作为百度Apollo智能交通生态合作重要伙伴将深度参与百度Apollo计划，共建围绕智能交通、自动驾驶、智能网联领域的技术、商业生态。此次合作有利于促进公司车联网业务发展。
6,中简科技,300777,　　中简科技晚间公告，近日，公司与客户签订《产品订货合同》，合同标的为碳纤维、碳纤维织物；合同金额2.65亿元，占公司最近一个会计年度经审计营收的112.88%，合同履行期限为自签订日起12个月。
7,中京电子,002579,　　中京电子晚间公告，公司与珠海高栏港经济区管委会拟签订《投资协议书》，通过公开竞拍获得相关土地使用权的形式建设“珠海高栏港经济区中京电子半导体产业项目”，主要用于生产消费型及先进封装高阶IC载板等产品。同时，公司拟以1亿元设立全资子公司珠海中京半导体科技有限公司。
