,股票名称,股票代码,公告信息
1,光威复材,300699,　　光威复材（300699）3月30日晚间披露年报，公司2019年营业收入17.15亿元，同比增25.77%；净利润5.22亿元，同比增38.56%；每股收益1.01元。公司拟每10股派发红利5元（含税）。公司预计2020年一季度净利润1.58亿元-1.74亿元，同比增长0%-10%。一季度，公司碳纤维（含织物）业务稳定增长；风电碳梁业务受全球疫情影响，部分订单推迟发货，业绩与上年同期持平。
2,以岭药业,002603,　　以岭药业（002603）3月30日晚间披露业绩预告，预计公司一季度实现净利润4.33亿元-4.61亿元，同比增长50%-60%。一季度，公司主导产品——连花清瘟产品营业收入较去年同期大幅增长。另外，公司近日收到泰国卫生部核准签发的现代植物药注册批文，批准公司药品连花清瘟胶囊符合泰国现代植物药标准注册。
3,海格通信,002465,　　海格通信（002465）3月30日晚间公告，近日，公司全资子公司海格怡创与广东移动签订“中国移动广东公司2020年至2021年通信设备安装工程施工服务集中采购（广东）项目框架合同（标段1及标段2），合同总体规模不含税金额为4.67亿元。另外，海格怡创预中标广东移动2020年至2022年无线网络优化服务集中采购（日常优化部分）项目，金额合计1.37亿元。
4,东华软件,002065,　　东华软件（002065）3月30日晚间公告，公司与宣亚国际营销科技（北京）股份有限公司在北京市签署了《关于智慧城市、云计算、大数据等领域战略合作框架协议》。鉴于国内云计算、大数据、人工智能、智慧城市、智慧教育、智慧医疗、5G、数字化营销等新技术的应用具有广阔前景，双方同意充分发挥各自领域的人才、资源、技术、产品及市场优势，开展全方位的合作，形成全面战略合作伙伴关系。
5,中恒电气,002364,　　中恒电气（002364）3月30日晚间公告，公司中标中国移动2020年至2021年组合式开关电源产品集中采购项目，中标份额为40%，公司投标报价为3.62亿元（不含税）。如果中标项目得以顺利实施，预计将对公司2020年至2021年经营业绩产生积极影响。
6,得润电子,002055,　　得润电子（002055）3月30日晚间披露非公开发行A股股票预案，拟定增募资不超16.8亿元，用于高速传输连接器建设项目、OBC研发中心项目、补充流动资金。截至目前，此次发行尚未确定具体发行对象。
7,阳普医疗,300030,　　阳普医疗（300030）3月30日晚间公告，公司今日获悉，阳普医疗研发的新型冠状病毒检测试剂盒已获得CE认证，表明该系列产品符合欧盟相关要求，具备欧盟市场的准入条件。
