,股票名称,股票代码,公告信息
1,歌尔股份,002241,　　歌尔股份消息，近日，歌尔股份自主研发制造的带有ECG心电图检测功能的智能手表参考设计获得国家食品药品监督管理局认证的（NMPA）产品注册证和医疗器械生产许可证，这是歌尔制造首次取得NMPA认证，具备生产ECG手表医疗器械产品的资质，标志着歌尔在智能穿戴医疗健康领域取得进一步的突破。
2,中国重工,601989,"　　中国重工(601989)11月4日晚间公告，公司控股股东之一致行动人中国船舶工业集团有限公司于11月4日通过集中竞价交易系统增持1925.63万股, 占总股本的0.084%，增持均价为4.199元/股，对应增持金额8086.49万元，并计划未来6个月内继续择机增持公司股份，累计增持总金额不少于2亿元（含本次已增持金额）。"
3,星徽精密,300464,　　星徽精密(300464)11月4日晚间公告，公司拟向不超过35名特定投资者，非公开发行股份募资不超过9.82亿元用于视频产品研发项目、激光电视研发项目、数字产品研发中心升级及实验室建设项目、信息系统升级项目和补充流动资金。
4,东阳光,600673,　　东阳光(600673)11月4日晚间公告，11月3-4日，公司董事长张红伟、董事张寓帅通过集中竞价交易系统在二级市场合计增持公司股份112.51万股，占公司总股本的0.037%，增持价格区间为5.44-5.51元/股。
5,歌力思,603808,　　歌力思(603808)11月4日晚间公告，11月3日至4日期间，公司控股股东歌力思投资以集中竞价交易方式增持公司股份共64万股，占公司总股本0.19%，增持金额合计为849万元。截至11月4日，歌力思投资以集中竞价交易方式累计增持公司股份共151万股，占公司总股本0.45%。累计增持金额合计为2077.44万元。歌力思近5个交易日股价累计下跌27.61%。
6,京运通,601908,　　京运通(601908)11月4日晚间公告，公司与四川省乐山市人民政府、乐山市五通桥区人民政府签署《乐山市人民政府、乐山市五通桥区人民政府、北京京运通科技股份有限公司24GW单晶拉棒、切方项目投资协议》，公司拟在四川省乐山市五通桥区建设24GW单晶拉棒、切方项目及相关配套设施。本项目总投资预计为70亿元，将分两期实施。本项目将使用1600型单晶炉拉制硅棒，适配210mm硅片生产线。
7,万泰生物,603392,　　万泰生物(603392)11月4日晚间公告，公司的新型冠状病毒（2019-nCoV）抗原检测试剂盒（胶体金法）于近日获得欧盟CE认证。本产品之前未获得其他国家和国际组织的认证。获得欧盟CE认证后，可在欧盟国家和认可欧盟CE认证的国家销售。
