,股票名称,股票代码,公告信息
1,神火股份,000933,　　神火股份（000933）10月20日晚间公告，控股股东神火集团计划自10月21日起6个月内，以集中竞价交易和大宗交易等方式增持公司股份，拟增持金额不低于1亿元。
2,光峰科技,688007,　　光峰科技消息，10月20日，光峰科技旗下峰米科技在线上召开了“峰米与《金刚川》IP合作暨峰米双11分享会”。发布会中，峰米公布了与2020纪念抗美援朝70周年战争巨制《金刚川》IP合作的消息，峰米科技成为《金刚川》指定激光家庭影院独家合作伙伴。
3,顺络电子,002138,　　顺络电子（002138）10月20日晚披露三季报，公司前三季度营业收入24.55亿元，同比增长27.11%；净利润4.07亿元，同比增长37.03%，创同期利润历史新高。其中，2020年第三季度实现销售收入10.13亿元，单季收入首次突破10亿元；第三季度净利润1.65亿元，单季利润持续创造历史新高。
4,和佳医疗,300273,　　和佳医疗（300273）10月20日晚间公告，鉴于广州呼吸中心建设项目医用系统工程建设需要，广州水电预备向公司采购呼吸项目工程洁净区域和国家重点实验室系统所需物资，采购总金额暂定为1.36亿元。分项合同签订后预计对公司2020年经营业绩产生积极影响。
5,安利股份,300218,　　安利股份（300218）10月20日晚间公告，近日公司通过美国威富（VF）集团的供应商审核，主要向其旗下系列国际品牌产品提供鞋用、箱包手袋用生态功能性合成革复合材料。美国威富（VF）集团是全球最大的鞋业及成衣公司之一，于1969年在纽交所上市。目前，公司预计美国威富（VF）集团本年度向公司采购的金额较小，对公司当期的经营业绩不会产生较大的影响。
6,鹏辉能源,300438,　　鹏辉能源（300438）在互动平台表示，公司拥有无极耳技术产品，有多项相关技术专利，预计今年年底将会量产。
7,哈工智能,000584,　　哈工智能（000584）10月20日晚间公告，全资孙公司上海奥特博格与宝能汽车分别就“深圳焊装车间C1M0&C26&C21下车体生产线新建项目”、“深圳焊装车间C1M0&C26&C21侧围生产线新建项目”等多个项目签署了《设备采购合同》，金额总计约2.45亿元，公司2019年度营业收入的14.11%。
