,股票名称,股票代码,公告信息
1,银宝山新,002786,　　银宝山新晚间公告，为进一步优化资产结构，集中力量发展优势业务，公司拟采用公开挂牌转让方式，对外转让控股子公司深圳市银宝山新压铸科技有限公司（银宝压铸）40%股权。此次股权转让完成后，公司仍持有银宝压铸11%股权，由控股子公司转为参股子公司，银宝压铸将不再纳入公司合并报表范围。
2,恩华药业,002262,　　恩华药业晚间公告，公司于近日收到国家药监局核准签发的关于“加巴喷丁胶囊”的《药品补充申请批件》，公司加巴喷丁胶囊通过仿制药质量和疗效一致性评价。加巴喷丁胶囊适应症：1、疱疹感染后神经痛：用于成人疱疹后神经痛的治疗。2、癫痫：用于成人和12岁以上儿童伴或不伴继发性全身发作的部分性发作的辅助治疗。也可用于3~12岁儿童的部分性发作的辅助治疗。
3,惠伦晶体,300460,　　惠伦晶体晚间公告，控股股东新疆惠伦拟将其所持的1000万股（占公司总股本5.94%）协议转让给安徽志道，转让价为13.80元/股。安徽志道与上海正奇是正奇金融的全资子公司，为一致行动人。权益变动后，安徽志道持有公司5.94%股份，正奇金融通过上海正奇和安徽志道间接持有1239万股，占公司总股本7.365%。正奇金融为联想控股旗下公司。天眼查数据显示，联想控股持有正奇金融84%股权。
4,数码科技,300079,　　数码科技晚间公告，公司当日收到《中选通知书》，正式确定公司为中移物联网有限公司“智能机顶盒供应商名录项目”中选人，项目金额1.72亿元，占公司2019年度营收的16.97%。该项目顺利实施后，预计对公司2020年度及今后年度经营业绩将产生积极的影响。
5,天瑞仪器,300165,　　天瑞仪器晚间公告，公司收到项目中标通知书，确认公司、中国能源建设集团天津电力建设有限公司联合体为安岳县城镇生活污水处理厂PPP项目的中标社会资本，总中标金额7.54亿元。若公司能签订正式项目书面合同并顺利实施，对公司未来经营业绩会产生积极影响。
6,普洛药业,000739,　　普洛药业晚间公告，公司控股子公司浙江普洛康裕制药于近日收到日本独立行政法人医药品医疗器械综合机构（PMDA）签发的《医药品适合性调查结果通知书》，涉及产品为原料药盐酸美金刚。此次认证为该原料药通过日本PMDA的首次认证，标志着公司该原料药具备了向日本市场供应的资质，为开拓日本市场打开了准入通道。
7,加加食品,002650,　　加加食品晚间公告，公司与深圳中顺易金融服务有限公司签署《战略合作协议》，共同推动“产业+互联网+金融+科技”的数据金融模式在调味品及食品领域的行业应用，助力公司延伸产业链，构建产业生态。
