,股票名称,股票代码,公告信息
1,友阿股份,002277,　　友阿股份（002277）9月20日晚间公告，公司在湖南岳阳开设的“岳阳友阿奥特莱斯”于9月19日开业运营，落户该店的公司首家“友阿中免美妆化妆品综合店”同步开业。“友阿中免美妆化妆品综合店”是公司通过商业合作伙伴与中国中免进行业务对接，拓展国际高端化妆品品类板块完税零售业务开设的第一家美妆化妆品综合店，后续将陆续在公司其他门店开设“友阿中免美妆化妆品综合店”。
2,雅戈尔,600177,　　雅戈尔（600177）9月20日晚间公告，公司拟回购股份，本次回购的股份数量不低于1亿股，不超过2亿股，占公司回购前总股本约2.16%-4.32%。回购股份价格不超7.5元/股。回购的资金总额为不高于15亿元。
3,深天地A,000023,　　深天地A（000023）9月18日晚间公告，深圳科杰斯投资有限公司在6月10日至9月18日期间，通过集中竞价方式增持公司股份693.79万股，增持价格区间15.1-19.6元/股。截至目前，深圳科杰斯投资有限公司持有公司693.79万股，占公司总股本的5%。科杰斯投资不排除在未来12个月内增加或减少其在公司中拥有权益的股份的计划。
4,爱施德,002416,　　爱施德（002416）9月18日晚间公告，公司决定受让阿里巴巴持有的爱巴巴51%股权，交易价5100万元。受让完成后，公司将持有爱巴巴90%股权，阿里巴巴将不再持有爱巴巴股权；爱巴巴成为公司控股子公司，纳入公司合并报表范围内。爱施德表示，此次交易不影响公司与阿里巴巴战略合作的正常推进，是基于深化双方战略合作的新举措。
5,海南发展,002163,　　海南发展（002163）9月18日晚间公告，公司拟非公开发行股票募资不超20亿元，用于收购国善实业100%股权和海口市大英山新城市中心区D01地块办公商业综合体项目。公司控股股东海南省发展控股有限公司拟全额认购，拟认购股份数量1.47亿股。
6,铜陵有色,000630,　　铜陵有色（000630）9月18日晚间公告，9月17日，公司与安徽铜冠智能科技有限责任公司、阿里云计算有限公司、安徽长江工业大数据科技股份公司四方签订《框架合作协议》，拟以共同推进铜陵有色在智能制造、数据工厂、产品溯源、供应链金融等方面的数字化转型为目标开展具体合作。
7,宜昌交运,002627,　　宜昌交运（002627）9月18日晚间公告，公司与同程旅行签署《战略合作框架协议》，双方合作内容包括：同程旅行为公司旗（金麒麟分析师）下景区、游轮、酒店等产品提供引流，优先为公司旗下景区、游轮、酒店等项目实施系统及终端的智能化改造等。此外，双方在资本层面进行充分探讨，条件允许情况下，双方在股权投资、文旅产业基金合作、文旅项目投资并购等多方面开展深入合作。
