,股票名称,股票代码,公告信息
1,科恒股份,300340,　　科恒股份（300340）3月11日晚间公告，公司全资子浩能科技近日收到宁德时代设备采购订单，将采购浩能科技“冷压预分条一体机”合计20台用于其德国生产基地，具体设备规格型号、金额、交付周期等将由宁德时代或德国时代后续采购订单、协议分批确定。截至目前，已收到其中德国时代6台“冷压预分条一体机”具体订单。
2,睿创微纳,688002,　　睿创微纳（688002）3月11日晚间公告，公司全资子公司艾睿光电近日与客户签订一份军品配套产品订货合同，合同金额1.935亿元，占公司2018年营业总收入的50.38%。合同标的为某型号军品配套的非制冷红外焦平面探测器。此次合同系客户对以前年度研制定型的军品型号产品的再次订货。
3,开山股份,300257,　　开山股份（300257）3月11日晚披露非公开发行股票预案，发行价格为8.11元/股，发行数量不超1.85亿股，全部由控股股东开山控股以现金认购。募资总额不超过15亿元，扣除发行费用后将用于公司“印尼SMGP240MW地热发电项目第二期”和补充流动资金。
4,露笑科技,002617,　　露笑科技（002617）3月11日晚间公告，公司全资子公司露笑新能源与奇瑞商用车（安徽）有限公司签署合资合同，双方合资成立新能源PACK项目公司安徽奇露科技有限公司，注册资金1亿元，奇瑞占比51%，露笑新能源占比49%。合资公司经营范围包括：研发、制造、销售混合动力和纯电动汽车用车辆牵引蓄电池系统和模块等。合资公司将推进新能源汽车电池产品市场化应用，对公司业务发展和业绩提升产生积极影响。
5,龙大肉食,002726,　　龙大肉食（002726）3月11日晚公告，公司全资子公司龙大养殖2月份销售生猪1.51万头，环比增长31.3%，同比下降32.29%；实现销售收入0.67亿元，环比增长34%，同比上涨123.33%。2月份，龙大养殖商品猪销售均价为35.53元/公斤，比1月份上涨2.48%。公司同时公告，为进一步做大做强公司熟食板块规模，完善产业布局，拟4.34亿元投建莱阳调理食品和低温肉制品深加工项目。
6,普洛药业,000739,　　普洛药业（000739）3月11日晚间发布年报，2019年度，公司实现营收72.1亿元，同比增长13.09%；净利为5.53亿元，同比增长49.34%。公司拟每10股派现1.65元（含税）；每股收益0.47元。报告期，公司营业收入和净利润双双创下历史新高。
7,尖峰集团,600668,　　尖峰集团（600668）3月11日晚间公告，公司控股子公司尖峰药业收到国家药监局核准签发的盐酸帕罗西汀片《药品补充申请批件》，尖峰药业盐酸帕罗西汀片通过仿制药质量和疗效一致性评价。盐酸帕罗西汀片用于治疗抑郁症、强迫症、伴有或不伴有广场恐怖的 惊恐障碍、社交恐怖症/社交焦虑症。
