,股票名称,股票代码,公告信息
1,TCL科技,000100,　　TCL科技晚间公告，公司确定摘牌收购中环集团100%股权，根据此前披露，中环集团100%股权转让底价为109.74亿元。
2,厦门钨业,600549,　　厦门钨业晚间披露业绩快报，上半年实现营收79.24亿元，同比下滑5.48%；净利2.33亿元，同比增长200.77%；每股收益0.17元。上半年，公司钨钼等有色金属业务实现营收34.24亿元，同比减少10%，实现利润总额4.06亿元，同比增长191%；稀土业务实现营收12.8亿元，同比增长19%，实现利润总额3520.92万元，同比增长331%；新能源电池材料业务同比扭亏为盈。
3,大北农,002385,　　大北农晚间公告，7月15日，农业农村部科技教育司发布2020年农业转基因生物安全证书（生产应用）批准清单，公司控股子公司生物技术公司DBN9858玉米品种获得农业转基因生物安全证书（生产应用），有效期为2020年6月11日至2025年6月11日。
4,沃华医药,002107,　　沃华医药晚间披露半年报，上半年实现营业收入4.84亿元，同比增长15.77%；净利润9073.29万元，同比增长190.14%；每股收益0.23元。报告期内，公司“四大独家医保支柱产品”销售收入未受疫情负面影响，实现高速增长。其中沃华®心可舒片销售收入同比增长29.05%，骨疏康胶囊/颗粒零售市场销售收入同比增长83.11%，脑血疏口服液同比增长25.58%。
5,通光线缆,300265,　　通光线缆晚间公告，公司全资子公司江苏通光强能输电线科技有限公司预中标“南方电网公司2020年主网线路材料第一批框架招标项目”，预中标金额1.64亿元，约占2019年营业收入的11.1%。
6,新宝股份,002705,　　新宝股份晚间公告，公司近期正在筹划非公开发行股票相关事项，募集资金将全部用于公司主营业务发展，旨在进一步优化产品结构及丰富产品类型，加强品牌营销管理。
7,国联股份,603613,　　国联股份晚间披露业绩预告，上半年预计盈利1.11亿元至1.14亿元，同比增长约70.76%到75.38%。业绩增长的主要原因是公司网上商品交易收入增长。
