,股票名称,股票代码,公告信息
1,达安基因,002030,　　达安基因（002030）晚间披露业绩快报，公司今年上半年实现营业总收入21.29亿元，同比增长312.90%；净利润7.62亿元，同比增长1159.13%。受新型冠状病毒肺炎疫情影响，市场对新型冠状病毒（2019-nCoV）核酸检测试剂盒及核酸检测仪器、相关耗材的需求量大幅度增长。
2,乐普医疗,300003,　　乐普医疗（300003）晚间公告，公司拟将其控股子公司乐普诊断分拆至科创板上市，本次分拆完成后不会影响对子公司乐普诊断的控制权。
3,山东赫达,002810,　　山东赫达（002810）晚间发布业绩快报，上半年，公司营收为6.17亿元，同比增长15.89%；净利为1.21亿元，同比增长50.71%。基本每股收益0.65元。报告期，公司经营情况良好，销售规模不断扩大，订单持续增长。
4,海格通信,002465,　　海格通信（002465）晚间公告，公司近日收到与特殊机构客户签订的订货合同，合同总金额约2.55亿元，合同标的主要为无线通信、北斗导航产品及配套设备。上述合同总金额占公司最近一个会计年度经审计的营业收入的5.53%。
5,万泰生物,603392,　　万泰生物（603392）晚间公告，公司全资子公司万泰沧海授权赛诺菲巴斯德公司进行新型轮状病毒疫苗（主要用于预防A型轮状病毒引起的儿童腹泻）开发、生产及商业化。交易金额方面，预付款及里程碑款总金额6800万美金，其中包括1000万美金预付款及5800万美元里程碑付款；商业化后视销售产品品种给予净销售额1%或2%的许可费。
6,广联达,002410,　　广联达（002410）晚间披露回购股份方案，回购的资金总额不低于2亿元且不超过4亿元，回购价格不超过80元/股。本次回购股份用于股权激励计划或员工持股计划。
7,天铁股份,300587,　　天铁股份（300587）晚间公告，近日，公司与金华市金义东轨道交通有限公司签署3份合同，合同金额合计1.88亿元；与中铁十一局集团第三工程有限公司广州市轨道交通十八和二十二号线项目部签署1份合同，合同金额为1.17亿元。以上合同金额累计为3.05亿元。
