,股票名称,股票代码,公告信息
1,春秋电子,603890,　　春秋电子（603890）8月18日晚披露半年报，上半年，公司营收为13.59亿元，同比增长70.36%；净利为1.38亿元，同比增长431.62%。报告期，笔记本电脑需求复苏，疫情刺激需求快速增长；公司进一步强化金属结构件业务，成功发行可转债加码主业；新客户开拓顺利，业务关系逐步建立。
2,津滨发展,000897,　　津滨发展（000897）18日晚公告，控股股东泰达建设集团以增资扩股和股权转让相结合的方式实施混合所有制改革，引入了2家战略投资者，将泰达建设集团整体改制为国有资本参股的混合所有制企业。完成后，泰达控股持有泰达建设集团的股份比例由原先的100%变更为30%。新引入的战略投资者天津津联海胜混改股权投资基金合伙企业 （有限合伙）持股比例为40%；天津中科泰富投资合伙企业（有限合伙）持股比例为30%。
3,金山办公,688111,　　金山办公（688111）18日晚披露半年报，上半年公司营收为9.16亿，同比增33.64%。办公服务订阅业务5.33亿，同比增长70.89%。上半年公司净利为3.57亿元，同比增长143.3%。公司主要产品月度活跃用户数保持稳定增长，截至2020年6月30日，公司主要产品月度活跃用户（MAU）已达到4.54亿。其中WPSoffice PC版月度活跃用户数1.72亿；移动版月度活跃用户数2.75亿。
4,迪安诊断,300244,　　e公司讯，迪安诊断（300244）8月18日晚披露半年报，上半年，公司净利为5.01亿元，同比增长102.19%。报告期内，诊断服务总收入20.49亿元，较去年同期增长55.51%，其中，8家ICL实验室实现扭亏为盈，截止目前，公司已有38家ICL实验室，其中29家实现盈利，经营拐点提前到来。
5,天邦股份,002124,　　天邦股份（002124）8月18日晚间披露半年报，上半年营收46.1亿元，同比增长56.79%；净利润15.35亿元，同比扭亏；基本每股收益1.32元。上半年，国内非洲猪瘟疫情已趋稳定，国家和地方陆续出台了一系列生猪稳产保供政策措施来促进生猪产能的恢复，生猪产能逐月回升。
6,三花智控,002050,　　三花智控（002050）8月18日晚间公告，全资子公司三花汽零于近期收到恒大恒驰新能源汽车研究院（上海）有限公司的通知，三花汽零被确定为恒大新能源汽车恒驰系列车型多个热管理阀类、泵类产品的独家供应商，八年生命周期内，预计销售额累计约25亿元人民币。
7,漫步者,002351,　　漫步者（002351）8月18日晚间公告，上半年营收7.49亿元，同比增长46.15%；净利润1.07亿元，同比增长77.24%；基本每股收益0.12元。本期公司耳机收入大幅增加。
