,股票名称,股票代码,公告信息
1,泽璟制药,688266,　　泽璟制药（688266）3月23日晚公告，3月20日，公司自主研发的甲苯磺酸多纳非尼片（简称“多纳非尼”）已向国家药品监督管理局提交了新药上市申请，目前等待正式受理中。甲苯磺酸多纳非尼片是泽璟制药开发的口服多靶点、多激酶抑制剂类小分子抗肿瘤药物，属于1类新药，公司拥有独立的自主知识产权。
2,昆药集团,600422,　　昆药集团（600422）3月23日晚公告，公司拟回购不低于5000万元，不超过1亿元股份，回购价格不超过16.01元/股，回购股份50%用于注销以减少注册资本，50%用于股权激励计划。
3,粤水电,002060,　　粤水电（002060）3月23日晚间公告，公司收到国义招标股份有限公司的《中标通知书》，确定公司为“明阳阳江沙扒300MW科研示范项目风电机组塔筒设备采购第一、二标段”的中标单位，两个标段中标金额合计约3.07亿元。
4,中曼石油,603619,　　中曼石油（603619）3月23日晚公告，3月21日，公司与GROUPEMENT BIR SEBA签订阿尔及利亚BIR SEBA油田钻井项目合同，合同金额3640万美元（约合2.58亿人民币）。上述项目是公司在阿尔及利亚签订的第一个钻井项目合同，有利于继续辐射北非市场及丰富公司海外市场布局。
5,*ST九有,600462,　　*ST九有（600462）3月23日晚公告，公司与腾讯科技（深圳）有限公司签订框架合同，公司将运营以QQfamily为主题、以“游戏体验、体育竞技、艺术表演和文化景观”为核心的万余平（金麒麟分析师）米大型室内主题乐园。合同的签订对公司2020年度及未来经营业绩的影响需根据协议双方后续专项业务协议的签订和实施情况而定。
6,联得装备,300545,　　联得装备（300545）3月23日晚间公告，近日，公司与成都京东方光电科技有限公司（B7）签署了设备采购订单，标的为固态光学胶贴合机、偏光片贴片机，订单含税金额为1亿元，未税金额8870万元。订单未税金额约占公司2018年经审计营业收入总额的13.37%。
7,恒林股份,603661,　　恒林股份（603661）3月23日晚公告，为进一步稳定投资者对公司股票长期价值的预期，构建稳定的投资者结构，同时充分调动公司员工干部的积极性，公司拟回购不低于5000万元，不超过1亿元股份，回购价格不超过56.88元/股。此次回购股份将作为公司实施实施股权激励或员工持股计划的股票来源。
