,股票名称,股票代码,公告信息
1,安泰科技,000969,　　安泰科技晚间公告，近日，公司收到国资委下发的《国务院国有企业改革领导小组办公室关于调整部分“双百企业”名单有关事项的通知》，公司被新增纳入国企改革“双百企业”名单。
2,重庆百货,600729,　　重庆百货晚间公告，为彻底解决公司与步步高集团在重庆地区的同业竞争、减少关联交易，公司以现金方式向步步高集团收购宝川置业和步步高中煌各100%股权。交易价格合计6.56亿元。
3,华邦健康,002004,　　华邦健康晚间公告，控股子公司山东凯盛新材料股份有限公司通过山东证监局首次公开发行股票并在创业板上市辅导验收。
4,清源股份,603628,　　清源股份晚间公告，厦门金控计划6个月内增持公司股份，以不超过8元/股的价格，增持总金额不低于3000万元，不超过9500万元，增持比例不超过公司总股本的4.09%。
5,华安证券,600909,　　华安证券晚间公告，根据安徽省国资委相关工作要求，安徽国控集团与皖能集团、安徽交控资本签署了《一致行动人协议》。签署一致行动人协议后，安徽国控集团能实际控制公司股权比例为37.02%。
6,正邦科技,002157,　　正邦科技晚间披露定增预案，公司拟募集资金总额不超过80亿元，其中32.19亿元用于发展生猪养殖业务，剩余部分用于补充流动资金。发行对象为公司控股股东正邦集团，公司实际控制人旗下江西永联、邦鼎投资、邦友投资和战略投资者宏桂投资。宏桂投资由广西国有企业改革发展一期基金合伙企业（有限合伙）、广西宏桂汇智基金管理有限公司设立，拟认购金额上限为5亿元。
7,精研科技,300709,　　精研科技晚间公告，预计上半年净利润为3300万元–3600万元，同比增长26.48%-32.61%。
