,股票名称,股票代码,公告信息
1,传音控股,688036,　　传音控股公告，今年上半年实现净利润10.9亿元，同比增长33.42%。2020年上半年公司业务规模稳定增长，营业利润保持增长。公司与网易、腾讯、阅文集团等多家国内领先的互联网公司，在音乐、游戏、短视频、内容聚合及其他应用领域进行出海战略合作，积极开发和孵化移动互联网产品。截至报告期末，已合作开发7款月活跃用户超过1，000万的应用程序。
2,大北农,002385,　　大北农晚间披露半年报，今年上半年实现净利润8.93亿元，同比增长2556.20%。生猪供应仍存在缺口，上半年猪价维持高位运行，2020年1-6月份全国生猪均价33.90元/公斤。公司抓住行业机遇，提升场区生物安全防控，充分利用现有产能并布局快速扩大生猪养殖产能。
3,万华化学,600309,　　万华化学公告，公司中国地区聚合MDI分销市场挂牌价17000元/吨（比8月份价格上调1500元/吨），直销市场挂牌价17000元/吨（比8月份价格上调1500元/吨）；纯MDI挂牌价18000元/吨（比8月份价格上调1000元/吨）。
4,艾德生物,300685,　　艾德生物公告，近日，公司全资子公司AmoyDx（Singapore）PTE． LTD．与上海海和药物研究开发有限公司1、HaiheBiopharma（HK）Limited、PREMIA Holdings（HK）Limited签署了合作协议。公司基于PCR技术平台自主研发的“肺癌多基因联合检测产品艾惠健®升级版将作为伴随诊断配合海和生物在研MET抑制剂谷美替尼在日本进行药物临床和注册，助力本土药企的创新药物进入国际市场。
5,东方明珠,600637,　　东方明珠公告，公司拟以自有资金出资5亿元人民币与中国广电在内的共计47名发起人共同发起组建中国广电网络股份有限公司，标的公司成立后公司持有标的公司0.4941%股权。
6,上海建工,600170,　　上海建工公告，公司下属子公司于2012年9月4日，收购了厄立特里亚国扎拉矿业股份公司60%股权。前期，经过扎拉矿业及长沙有色院找矿勘查研究，扎拉矿业拥有的科卡（Koka）金矿采矿许可证范围内金矿资源储量较原采信储量发生较大增加。科卡金矿采矿资源的勘探尚未全面完成，将随着开采工作继续深入。若以目前勘探查明的金矿资源增加量 33.89 万盎司为基数，按 1780.5 美元/盎司（LME黄金2020年6月30日收盘价）、汇率 7.0795（2020年6月 30 日美元兑人民币中间价）计算，上述金矿资源价值为 6.03 亿美元，约合人民币42.72亿元（为公司 2019 年末净资产的 13%）。
7,天合光能,688599,　　天合光能（688599）8月26日晚间披露半年报，上半年公司实现营收125.46亿元，同比增长16.56%；净利4.93亿元，同比增长245.81%。报告期，公司光伏组件出货量和产品领先性均达到行业领军水平：实现出货5840MW，较2019年同期增长37%。其中，海外高毛利地区组件销售增长显著，对净利润增长做出较大贡献。
