,股票名称,股票代码,公告信息
1,迈得医疗,688310,　　迈得医疗（688310）8月24日晚间披露半年报，上半年，公司实现营收1.14亿元，同比增长43.87%，其中口罩机业务增长尤为明显，其营业收入占比达73.5%；实现净利4160万元，同比增长165.91%；基本每股收益0.5元。
2,上机数控,603185,　　上机数控（603185）8月24日晚间公告，子公司签订重大采购合同：2020至2022年由公司全资子公司弘元新材向新疆大全新能源股份有限公司采购原材料多晶硅料2.16万-3.2万吨，按照当前市场价格测算，预计采购金额约19.44亿元-28.8亿元（含税）。合同的签订，有利于保障公司原材料稳定供应。
3,雅本化学,300261,　　雅本化学（300261）8月24日发布2020年半年度报告，公司实现营业收入9.26亿元，同比增长34%；实现归属于母公司股东的净利润9060万元，同比增长1225%。以农药、医药中间体业务为主的整体经营继续保持了良好增长态势，营收及盈利规模较上年同期实现较大幅增长。目前公司β-烟酰胺单核苷酸（NMN）产品已完成小试规模和中试规模生产工艺开发和验证，未来将在上虞基地实现规模化生产。
4,宏大爆破,002683,　　宏大爆破（002683）8月24日晚间公告，公司自行投资、自主研制的导弹武器系统HD-1项目在国家某靶场顺利完成飞行试验，飞行各项技术指标符合大纲要求，飞行试验取得成功，为定型鉴定奠定了基础。
5,大族激光,002008,　　大族激光（002008）8月24日晚间披露半年报，上半年实现营收51.6亿元，同比增长8.99%；净利润6.23亿元，同比增长64.26%；基本每股收益0.59元。随着5G换机进程的推进，消费电子行业进入新一轮创新周期，消费电子行业景气度和设备需求逐步回升，公司消费电子业务及产品订单保持稳定增长。
6,柳钢股份,601003,　　柳钢股份（601003）8月24日晚间公告，公司拟以货币资金对广西钢铁进行增资，其中60亿元增加广西钢铁注册资本，其余进入资本公积。柳钢集团拟放弃对广西钢铁的优先增资权，同时将所持广西钢铁股权对应的表决权委托给公司。增资完成后，广西钢铁的注册资本将由180亿元增至240亿元，其中，公司出资110亿元，占比达45.83%。公司将取得广西钢铁的控制权，将深度参与防城港基地后续建设，实现对广西钢铁并表。
7,久日新材,688199,　　久日新材（688199）8月24日晚间公告，公司拟以0元对价收购大晶新材100%股权（包含大晶新材持有100%股权的大晶信息）。大晶新材正在投建千吨级光刻胶及配套试剂项目，大晶信息正在投建年产600吨微电子光刻胶专用光敏剂项目。此次交易完成后，公司将通过股东借款或增资等方式为投资标的注入资金5300万元。此次收购的完成，标志着公司在光刻胶和半导体材料领域实施战略布局迈出实质性的一大步。
