,股票名称,股票代码,公告信息
1,华新水泥,600801,　　华新水泥晚间公告，鉴于公司拟定的核心员工持股计划方案的业绩指标考核范围扩充，与之相应的激励额度增大，公司决定将回购公司A股股份的资金总额由原方案的上限不超过1.25亿元，下限不低于1亿元调整为上限不超过6.1亿元，下限不低于5.5亿元，方案其它内容不变。公司同日披露2020-2022年核心员工持股计划草案，本计划总资金规模不超过6.1亿元。
2,东杰智能,300486,　　东杰智能晚间公告，全资子公司深圳东杰拟以自有资金4950万元收购中集集团、南方中集合计持有的深圳中集智能科技有限公司55%股权。此次交易旨在完善公司在工业互联网领域的布局，助力公司业务在智慧工厂和智慧物流等领域进一步延伸。
3,恒力石化,600346,　　恒力石化晚间披露半年报，上半年营业收入673.58亿元，同比增长59.11%；净利润55.17亿元，同比增长37.20%。基本每股收益0.79元。截至目前，公司拥有4条PTA生产线合计年产910万吨PTA产能，PTA总产能规模将于今年下半年达到年产1160万吨，成为全球产能规模最大、技术工艺最先进、成本优势最明显的PTA生产供应商和行业内唯一的一家千万吨级以上权益产能公司。
4,天原集团,002386,　　天原集团晚间公告，近日，公司与海尔卡奥斯物联生态科技有限公司、中国氯碱工业协会下属子公司北京英兆信息技术有限公司、中国石油和化学工业联合会的下属子公司普凯源国际石油化工技术发展（北京）有限公司签订了《战略合作协议》。将利用各方优势，构建基于化工行业的工业互联网全产业链生态平台，共建行业生态，助力化工行业转型升级。
5,上海凯宝,300039,　　上海凯宝晚间公告，参股公司上海谊众药业股份有限公司首次公开发行股票并在科创板上市申请于8月11日获上海证券交易所受理。截至目前，公司持有谊众药业17.33%的股份。
6,嘉元科技,688388,　　嘉元科技晚间公告，拟向不特定对象发行不超过12.5亿元的可转债，用于年产1.5万吨高性能铜箔项目、新型高强极薄锂电铜箔研发及其他关键技术研发项目、铜箔表面处理系统及相关信息化和智能化系统升级改造项目、嘉元科技（深圳）科技产业创新中心项目和补充流动资金。
7,中国电研,688128,　　中国电研晚间公告，中标工业和信息化部科技司2020年产业技术基础公共服务平台项目。如本项目签订正式合同并顺利完成，可为众多国内外家电和信息通信企业提供整机、零部件的检验检测、出口认证、技术咨询、培训、计量、知识产权服务，对公司业务产生积极影响。
