,股票名称,股票代码,公告信息
1,星网宇达,002829,　　星网宇达晚间披露2020年半年度业绩预告，上半年预计盈利2800万元~3800万元，同比增长1535.23%-2119.24%。公司持续在智能无人系统方向进行研发投入，已形成较完善的产品体系和具有核心竞争力的产品，上半年新业务取得突破性进展，原有核心业务也较快增长。
2,赛意信息,300687,　　赛意信息晚间披露2020年半年度业绩预告，上半年预计盈利4500万元-5079.49万元，同比增长272.84%-320.85%。公司运营能力持续增强，同时得益于疫情复工后大中型企业在智能制造升级及数字化转型订单的连续性恢复，以及公司智能制造领域的软件产品化成熟程度不断提高，公司主营业务保持良好增长。
3,沃森生物,300142,　　沃森生物晚间公告，公司作为共同申报方于近日收到国家药品监督管理局批准的新型冠状病毒mRNA疫苗《药物临床试验批件》，审批结论为应急批准本品进行临床试验，适应症为预防由SARS-CoV-2感染所致的疾病（COVID-19）。本疫苗是中国首个获批进入临床试验阶段的mRNA新型冠状病毒疫苗，目前仅有美国、德国等少数几个国家的新型冠状病毒mRNA疫苗进入临床试验阶段。
4,徐工机械,000425,　　徐工机械晚间公告，控股股东徐工有限混合所有制改革涉及的增资项目于6月24日在江苏省产权交易所公开挂牌。本次增资完成后，徐工集团和省属某国有独资公司合计持有本次增资后徐工有限股权的比例不低于51%，战略投资者和员工持股平台合计持有本次增资后徐工有限股权的比例不超过49%（其中员工持股平台持股约2%）。
5,荣盛发展,002146,　　荣盛发展晚间公告，公司收到控股子公司荣万家通知，荣万家已于2020年6月24日向香港联合交易所有限公司递交了首次公开发行境外上市外资股（H股）并在香港联交所主板上市的申请资料。
6,万丰奥威,002085,　　万丰奥威晚间公告，公司收到控股子公司上海镁镁和无锡雄伟通知，上海镁镁近日获得佛吉亚中国（佛吉亚中国为特斯拉一级供应商，为其Model Y配套座椅）镁合金座椅支架定点函，项目订单金额约5000万元。无锡雄伟获得延锋安道拓（延锋安道拓为特斯拉一级供应商，为其Model Y配套座椅骨架）座椅骨架冲压件定点函，项目订单金额约7000万元。目前，公司已获得特斯拉项目定点金额总计达3亿元。
7,海格通信,002465,　　海格通信晚间公告，公司近日收到与特殊机构客户签订的订货合同，合同总金额约2.83亿元。合同标的主要为无线通信（含数字集群、卫星通信）、北斗导航产品及配套设备。
