,股票名称,股票代码,公告信息
1,中公教育,002607,　　中公教育（002607）10月13日晚间披露业绩预告，公司预计前三季度净利12.9亿元-13.7亿元，同比增34.22%—42.56%；其中第三季度净利15.2亿元-16亿元，同比增226.29 %—243.47%。上半年因考试延期积压的待确认收入在三季度获得部分释放。在弥补上半年亏损之后，净利润与去年同期相比依然获得了稳健快速的增长，并提前完成了重组上市时的三年累计业绩承诺。
2,利欧股份,002131,　　利欧股份（002131）10月13日晚披露业绩预告，预计前三季度净利润为30.53亿-31.14亿元，同比增长889.14%-908.79%。2020年前三季度，公司投资理想汽车确认的公允价值变动收益36.14亿元，对归属于上市公司股东的净利润影响数为27.1亿元。
3,聚龙股份,300202,　　聚龙股份（300202）10月13日晚公告，招商银行于近日发布了集中采购项目结果通知书。在招商银行清分机采购项目（项目编号：10000320200128）中，确定公司为2口、4口、8口清分机和1口点钞机的设备采购、维保和回收服务的中选供应商。公司将自通知发布之日起30日内与招商银行联系洽谈合同签订事宜。
4,京汉股份,000615,　　京汉股份（000615）10月13日晚披露业绩预告，预计前三季度亏损8500万元-1.05亿元；其中第三季度预计盈利8000万元-1.05亿元，同比扭亏。公司房地产板块凤凰城项目2020年第三季度部分住宅达到竣工备案条件，确认营业收入10.08亿元，受该项目影响，公司第三季度当季实现盈利。
5,纽威股份,603699,　　纽威股份（603699）10月13日晚公告，公司获得向MODEC供应多套闸阀，截止阀，止回阀，球阀的重要合同，产品用于全球领先且技术工艺要求极为严苛的市场之一——海上浮式生产储卸油装置（FPSO）工程领域，合同金额为2500万美元。MODEC作为公司重要的战略合作伙伴，与公司的业务合作已逾十年，此次合同将MODEC与公司之间的战略合作关系推向了更高层次。
6,新华都,002264,　　新华都（002264）10月13日晚披露业绩预告，公司预计前三季度净利1.45亿元-1.49亿元，去年同期为亏损2亿元，同比扭亏。原因为公司上年度关闭处置了亏损门店和子公司股权；加强成本管控，提升经营管理水平，令公司整体盈利能力得以体现。
7,长盈精密,300115,　　长盈精密（300115）10月13日晚披露三季报，前三季度净利润为4.13亿元，同比增长119.32%；其中第三季度净利润1.84亿元，同比增168.86%。预计2020年全年净利润为5.3亿-6.5亿元，同比增长532.28%-675.44%。公司产品结构调整取得成效，穿戴类产品、平板类、笔电有较大增长，对效益产生积极影响。
