,股票名称,股票代码,公告信息
1,高德红外,002414,　　高德红外晚间向上修正业绩预告，预计今年上半年净利润为4.78亿元-5.38亿元，同比增长220%-260%。公司此前预计上半年净利同比增长80%-110%。报告期内，公司红外焦平面探测器、政府装备类产品、国内及海外民品销售规模增长明显。
2,龙大肉食,002726,　　龙大肉食晚间公告，预计上半年净利润为3亿元-3.1亿元，同比增长213.91%-224.37%。报告期内，受国内生猪价格高位运行和新冠疫情等影响，公司养殖、冷冻肉和熟食等业务盈利能力增加。
3,海特生物,300683,　　海特生物晚间披露向特定对象发行股票预案，拟向包括公司实控人陈亚在内的不超35名对象，发行不超3101万股，募资不超9.75亿元，投资于高端原料药生产基地I期项目、国家一类新药CPT产业化项目、国家一类新药CPT新适应症研究项目。其中，陈亚将以不超5000万元认购此次发行股份。
4,汇通能源,600605,　　汇通能源晚间公告，公司控股股东的一致行动人通泰万合7月14日增持了公司0.19%股份。7月14日起6个月内，通泰万合拟继续增持，累计增持数量（含此次增持股份）不低于总股本的5%，且不超过总股本的15%。
5,长安汽车,000625,　　长安汽车晚间发布业绩预告，预计上半年盈利20亿-30亿元，每股收益0.42元-0.62元。上年同期，公司亏损22.4亿元。报告期内，全资子公司重庆长安新能源引入战略投资者，公司放弃增资优先认购权，增加公司净利润约21亿元；出售长安标致雪铁龙股权，增加公司净利润约14亿元；公司持有的宁德时代股票股价上涨，增加公司净利润约17.75亿元。
6,上海贝岭,600171,　　上海贝岭晚间公告，近日，证监会核准了新洁能首次公开发行A股股票申请事项。目前，公司持有新洁能的股份占其首次公开发行前总股本的7.91%。
7,高新兴,300098,　　高新兴晚间公告，公司与腾讯云签署战略合作框架协议，达成在新基建智能网联、智慧出行、智能交通、智慧城市、智能巡检机器人等领域的战略合作伙伴关系。
