,股票名称,股票代码,公告信息
1,万泰生物,603392,　　万泰生物（603392）9月9日晚公告，公司与厦门大学、香港大学合作研发的鼻喷流感病毒载体新冠肺炎疫苗近日获得国家药品监督管理局临床试验申请受理通知书及临床试验批件，同意本品进行临床试验，该批件有效期为12个月。根据临床试验批件的要求，公司已启动I期临床研究。
2,三棵树,603737,　　三棵树（603737）9日晚披露第四期员工持股计划，参与总人数不超过3000人。其中员工自筹资金不超过8亿元，对外融资金额与员工自筹资金比例不超过1比1，资金总额上限为9亿元。公司控股股东、实际控制人洪杰为本次参与员工持股计划的其他员工资金提供托底保证：员工自有（自筹）资金年化收益率如低于10%，则由洪杰先生对员工自有资金本金兜底补足，且为员工自有（自筹）资金提供年化利率10%（单利）的补偿。
3,南方航空,600029,　　南方航空（600029）9月9日晚公告，为进一步深化改革，打造具有国际竞争力的现代物流服务商，公司下属全资子公司南方航空货运物流（广州）有限公司拟开展混合所有制改革，在上海联合产权交易所进行公开挂牌，通过增资扩股方式公开征集1-15名战略投资者，释放股权比例不超过49.5%（含员工持股）。本次增资扩股完成后，本公司仍为南航物流的控股股东。
4,金浦钛业,000545,　　金浦钛业（000545）9月9日晚间公告，自即日起，公司锐钛型和金红石型钛白粉销售价格在原价基础上，对国内各类客户上调500元人民币/吨，对国际各类客户上调80美元/吨。
5,安徽建工,600502,　　安徽建工（600502）9月9日晚公告，公司与安徽省第二建筑工程有限公司联合体，中标宿州市埇桥区三馆一院一中心及应用技术学校PPP项目，项目估算动态总投资10.44亿元。
6,百利科技,603959,　　百利科技（603959）9月9日晚公告，为了促进公司新能源核心材料战略的深入布局，推动质子膜氢燃料电池核心材料一体化项目的落地，公司及控股子公司百坤氢能，与铜川新材料产业园区管理委员会签订战略合作协议。百坤氢能将于铜川市注册成立具有法人资格的独立运营公司作为项目运营公司，开展氢能核心材料、关键部件的生产工艺技术研发和产业化推广。
7,新通联,603022,　　新通联（603022）9月9日晚公告，公司与施耐德电气签署战略合作协议，双方将在绿色智能制造、包材战略采购方面开展合作。自2002年以来，施耐德电气一直为公司的主要客户，此次战略合作项目的达成，标志着双方的合作进入了更加深度和紧密的全新阶段。
