,股票名称,股票代码,公告信息
1,信维通信,300136,　　信维通信晚间公告，公司与益阳高新管委会签署《关于合作共建信维通信益阳5G产业园项目战略合作协议》，投资成立全资子公司信维益阳，该子公司负责前述项目的实施。具体项目先期用地规模和厂房建设规模，双方另行协商确定。
2,天邦股份,002124,　　天邦股份晚间披露业绩预告，公司预计2020年半年度净利润为盈利14.8亿元-15.8亿元，公司上年同期亏损3.67亿元。报告期内，生猪销售价格处于高位运行区间，公司商品猪出栏价格较去年同期上升336.11%，销售收入同比上升67.14%。
3,江铃汽车,000550,　　江铃汽车晚间披露业绩预告，公司预计2020年半年度净利润为盈利2.08亿元，同比增长252.54%。江铃汽车介绍，业绩变动的原因主要是持续推动降本增效、严控费用支出，以及销售结构改善。
4,中联重科,000157,　　中联重科晚间披露定增预案，公司拟募集资金总额不超过66亿元，投资于挖掘机械智能制造、搅拌车类产品智能制造升级、关键零部件智能制造、关键液压元器件（液压阀）智能制造等项目并补充流动资金，发行价格为5.28元/股。发行对象为对象为怀瑾基石、太平人寿、海南诚一盛和宁波实拓共4名特定对象，四人为公司战略投资者。
5,新黄浦,600638,　　新黄浦晚间公告，博泰城鑫拟受让公司股东中崇投资所持中崇实业100%股权及盛誉莲花资管100%股权；股权转让后，中崇投资将直接所持的公司股份以大宗交易方式转让至中崇实业。中崇投资及其一致行动人目前合计持有公司21.84%股份，交易后将不再持股；博泰城鑫则将通过中崇实业、盛誉莲花资管合计持有公司21.84%股份。交易不会导致公司控股股东及实际控制人发生变化。
6,恒润股份,603985,　　恒润股份晚间公告，预计公司2020年半年度实现归属于上市公司股东的净利润约为1.62亿元到1.92亿元，同比增长154.55%到201.69%。上半年公司通过技改、设备更替等方式将产能进一步释放，公司产销规模比2019年上半年进一步扩大。另外，公司的资金使用效率显著提高，公司整体营运成本下降。
7,赛诺医疗,688108,　　赛诺医疗晚间公告，近日，公司收到国家药监局颁发的关于公司第二代“颅内球囊扩张导管”的医疗器械注册证。公司第二代颅内球囊扩张导管获批上市，是公司神经介入领域多元化产品布局以及提供缺血性脑卒中（脑梗死）介入完整治疗方案策略的重要组成部分，将进一步丰富公司在神经介入领域的产品种类。
