,股票名称,股票代码,公告信息
1,双鹭药业,002038,　　双鹭药业（002038）9月8日晚间公告，子公司海布生物向云南省药品监督管理局申请的含大麻叶提取物CBD的“国产非特殊用途化妆品备案（首次备案）”近日已获得审批通过。目前海布生物已获得工业大麻种植和生产许可，今年已完成3000亩的试种，计划于10月底前收获及进行CBD生产提取，其综合利用计划也将随后展开。海布生物计划明年将扩大种植面积和加工规模。此外公司产品替莫唑胺胶囊（20mg）通过一致性评价。
2,华民股份,300345,　　华民股份（300345）9月8日晚间公告，控股子公司红宇智能于近日取得湖南国家保密局、湖南省国防科技工业局颁发的《武器装备科研生产单位三级保密资格证书》。该证书的取得表明红宇智能符合《武器装备科研生产单位保密资格认定办法》及有关规定要求，是红宇智能为相关领域提供军品研发、生产和服务的基础，是公司获得的一项重要军工资质。
3,浩云科技,300448,　　浩云科技（300448）9月8日晚间公告，公司9月7日收到中标通知书，确定公司为农业银行贵州省分行安防工程集成服务采购项目的中标人。上述项目中标后，如最终签署正式合同并顺利实施，将对公司业务主线之一的金融物联领域未来的经营业绩、市场扩展能力及品牌影响力产生积极影响。
4,龙马环卫,603686,　　龙马环卫（603686）9月8日晚公告，8月份公司中标了广西壮族自治区桂林市七星区环卫服务市场化运作服务采购C分标项目，吉林省松原市乾安县环卫、园林市场化服务项目，天津市北辰区双口镇农村环卫一体化服务项目和天津市北辰区西堤头镇农村环卫一体化服务项目等项目，合同总金额为34952万元。
5,上峰水泥,000672,　　上峰水泥（000672）9月8日晚间公告，拟使用累计不超5.5亿元额度进行新经济产业股权投资，投资范围主要面向以科技创新驱动和绿色高质量发展为主导的，包括不限于半导体、芯片、高端制造、环保等行业优质成长性项目，进行新经济财务投资，长短结合，产业与金融结合。
6,东方电缆,603606,　　东方电缆（603606）9月8日晚公告，近日，公司收到中标通知书，确认公司中标华能苍南4号海上风电项目，中标金额3.38亿元。
7,东珠生态,603359,　　东珠生态（603359）9月8日晚公告，公司所属联合体预中标赣州市章贡区乡村旅游建设项目水西乡村旅游建设-和乐生态旅游、美丽乡村建设及东江源大道（章贡区段）基础提升项目（EPC）。项目总投资约3.19亿元，建安工程费及设计费约2.81亿元。
