,股票名称,股票代码,公告信息
1,三夫户外,002780,　　三夫户外（002780）10月27日晚间公告，上海春山增持公司0.782%股权，增持后持股5.642%。上海春山认可公司的长期投资价值，根据投资计划对公司进行股份增持，并预计在未来12个月内有继续增持股份的计划。
2,理邦仪器,300206,　　理邦仪器（300206）10月27日晚间公告，为加快双方优势资源的融合，推动新一代人工智能在医疗器械领域的应用，公司与腾讯本着优势互补、平等合作、互惠互利、强强联合、共赢发展的原则，经双方坦诚交流、友好协商，有意在智能医疗领域进行长期合作，目前就公司心电诊断业务达成框架合作协议。
3,万华化学,600309,　　万华化学（600309）10月27日晚公告，自11月份开始，公司中国地区聚合MDI分销市场挂牌价25000元/吨（比10月份价格上调5400元/吨），直销市场挂牌价25000元/吨（比10月份价格上调5400元/吨）；纯MDI挂牌价28000元/吨（比10月份价格上调8200元/吨）。
4,安纳达,002136,　　安纳达（002136）10月27日晚间公告，鉴于主要原材料价格持续上涨，导致公司主营产品钛白粉成本不断增加。公司决定从10月28日起上调主营产品销售价格，金红石型钛白粉和锐钛型钛白粉国内销售价格均上调700元/吨，出口价格上调150美元/吨。
5,中集集团,000039,　　中集集团（000039）27日晚披露三季报，前三季度营收635.92亿，同比增长3.13%；净利6.98亿元，同比增长9.62%。公司第三季度净利8.8亿元，同比增2123.72%。随着欧美疫情解禁之后进口需求的激增，以及二季度以来中国出口的持续改善，集运需求出现大幅回升，客户在三季度恢复并加大了对新箱的采购力度，三季度集装箱平均箱价同比去年有较大幅度提升，这使得集装箱行业整体利润率达到较好水准。
6,正邦科技,002157,　　正邦科技（002157）10月27日晚间披露三季报，前三季度营收326.05亿元，同比增长85.63%；净利润54.33亿元，同比增长10711.29%。公司第三季度净利30.16亿元，同比增长827.44%。
7,东方生物,688298,　　东方生物（688298）10月27日晚发布三季报，前三季度，公司营收为11亿元，同比增长319.73%；净利为6.64亿元，同比增长1038.69%。基本每股收益5.54元。公司业绩增长主要系报告期新冠检测产品大幅度增加，带来相应的利润增加。
