,股票名称,股票代码,公告信息
1,阿尔特,300825,　　阿尔特(300825)11月5日晚间公告，公司拟向不超过35名特定投资者非公开发行股份，募资不超过9.89亿元用于先进性产业化研发项目、阿尔特成都新能源动力系统及零部件生产基地建设项目和柳州菱特一期工程年产5万台V6发动机技改项目。董事长、实际控制人之一的宣奇武拟以5000万元参与认购。
2,华体科技,603679,　　华体科技(603679)11月5日晚间公告，公司与商河产投签订《商河县经济开发区5G多杆合一智慧路灯建设项目合作框架协议》。商河县经济开发区管理委员会计划改建或新建1500套5G多杆合一智慧路灯，总投资约1.5亿元。如公司中标商河产投合资公司选聘的社会资本方，将积极参与投标该项目。取得较好的经济和社会效益后，商河县预计新建或改造有5000套5G多杆合一智慧路灯，总投资约5亿元，公司将积极参与投标。
3,合诚股份,603909,　　合诚股份(603909)11月5日晚间公告，2020年7月6日至11月5日，北京天象道通资产管理有限公司通过集中竞价方式买入717.54万股公司股份，占股本总额的5.00093%。资金来源为北京天象道通资产管理有限公司天象18、19号私募证券投资基金。本次权益变动后，京天象合计持有5.0093%公司股份。北京天象未来12个月内拟增持不低于1%，不超过10%公司股份。
4,ST浩源,002700,　　ST浩源(002700)11月5日晚间公告，公司拟使用自有资金以集中竞价交易方式回购公司部分股份，用于实施股权激励或者员工持股计划。本次回购资金总额不低于3000万元（含）且不超过5000万元（含），回购股份价格不超过5元/股(含)，回购比例约占公司总股本1.4%-2.4%。
5,金力泰,300225,　　金力泰(300225)11月5日晚间公告，控股子公司上海金杜收到上海微电子签署的《外协件采购通用条款》，上海金杜正式成为上海微电子的合格供应商。
6,九洲药业,603456,　　九洲药业(603456)11月5日晚间公告，公司决定在浙江省杭州钱塘新区医药港小镇投资建设CDMO及制剂基地项目，项目将新建小分子及大分子创新药CDMO（研发生产服务）基地和制剂研发生产中心。项目总投资约16亿元，分二期投资建设。
7,安泰科技,000969,　　安泰科技(000969)11月5日晚间公告，安泰科技、河钢工业技术与现代汽车三方共同签订《氢燃料重卡应用推广项目合作协议》，约定在氢燃料重卡应用推广领域推进商业合作与技术创新，不断降低氢燃料重卡运营成本，共同开拓具备市场竞争力的商业模式和具备盈利能力的高端产品，逐步构建高效、低碳的氢燃料重卡生态圈。三方未来将以合适的形式成立合资公司。
