,股票名称,股票代码,公告信息
1,平治信息,300571,　　平治信息（300571）11月12日晚公告，近日，公司收到子公司深圳兆能与中移物联网有限公司签订的《2020年智能家庭网关生产项目第四批采购代工生产框架合同》，框架合同的不含税金额上限为9584万元；含税金额上限为1.08亿元。本次代工生产合同项目属于深圳兆能的主营业务，将对公司未来经营业绩产生促进作用。
2,中科信息,300678,　　中科信息（300678）11月12日晚公告，公司全资子公司成都中科于近日取得了由成都市市场监督管理局颁发的《医疗器械经营许可证》及《第二类医疗器械经营备案凭证》，有助于公司在相关业务领域的进一步发展，有助于智慧医疗业务的顺利开展。
3,格林美,002340,　　格林美（002340）11月12日晚公告，公司参股公司株洲欧科亿数控精密刀具股份有限公司首次公开发行股票并在科创板上市的申请已经通过上交所科创板股票上市委员会审核，证监会同意了欧科亿在科创板首次公开发行股票的注册申请。欧科亿将会根据证监会及上交所的相关规定及要求展开后续工作。截至公告日，公司持有欧科亿共1500万股，占欧科亿首次公开发行前总股本的20%。
4,海格通信,002465,　　海格通信（002465）11月12日晚公告，为促进公司及驰达飞机业务的共同发展，提升驰达飞机的盈利能力和综合竞争力，公司拟筹划分拆驰达飞机至深圳证券交易所创业板上市。
5,安正时尚,603839,　　安正时尚（603839）11月12日晚间公告，公司拟以集中竞价交易方式回购股份，回购的资金总额不低于5500万元，不高于1.1亿元，回购价格不超过16元/股。本次回购股份计划将用于股权激励和员工持股计划。
6,诚志股份,000990,　　诚志股份（000990）11月12日晚公告，近日，公司控股子公司诚志汉盟取得了云南省公安厅核发的《云南省工业大麻种植许可证》。诚志汉盟本次取得种植种类为“科学研究种植”的《云南省工业大麻种植许可证》，有助于拓宽公司工业大麻提取产业链，进一步推动工业大麻研究、种植、加工等工作的深入开展，增加后期工业大麻的原料来源。
7,航民股份,600987,　　航民股份（600987）11月12日晚间公告，公司控股股东航民集团于11月12日通过上交所证券交易系统增持公司股份350万股，并拟自本次增持之日起6个月内择机增持航民股份，增持数量（含本次已增持部分）不低于1000万股，不超过2000万股，增持股份的比例不低于公司总股本的0.92%且不超过公司总股本的1.85%。
